Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Close 1d (%)_Color,Close 1w (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,OI 1d (%)_Color,OI 1w (%)_Color
EZPW,16.4,,16.33,16.66,"1,490",-0.79,,31.61,40.99,,,3.26,,"13,524",0.38,,0.8457,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
FARO,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
MNKD,4.52,,4.17,4.62,"12,392",11.06,,53.34,89.28,,,16.96,,"67,967",0.0,,0.7397,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
ARAY,1.57,,1.55,1.59,485,1.29,,65.62,82.49,,,19.75,,"6,674",0.01,,1.926,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
TPIC,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
ETSY,54.43,,54.32,55.79,"36,494",-3.18,-16.21,51.47,57.73,-16.89,4.13,61.55,70.89,"348,134",0.0,26.85,0.8973,#F87171,#F87171,#F87171,#10B981,#10B981,#10B981,#FFFFFF,#10B981
DAY,69.55,,69.5,69.68,"2,236",-0.03,3.19,57.19,28.63,-13.15,-37.28,3.57,-67.12,"33,375",-0.0,53.75,3.9236,#F87171,#10B981,#F87171,#F87171,#10B981,#F87171,#FFFFFF,#10B981
FVRR,23.19,,22.85,23.28,"1,977",0.96,,45.51,49.92,-1.68,,29.05,,"27,240",0.02,,0.9287,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
GWRE,216.42,,213.0,216.93,961,2.02,,36.49,65.59,-1.82,,85.16,,"4,109",-2.14,,1.3265,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
ZS,273.07,,267.51,273.77,"12,615",2.01,,40.99,62.38,,,42.87,,"128,105",-0.22,,0.9773,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
MITK,10.29,,9.97,10.29,172,1.88,,41.06,57.23,16.11,,-4.97,,"3,328",0.09,,1.1967,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF
SKIN,2.05,,2.02,2.1,259,0.99,,131.7,109.0,-14.41,,-4.78,,"10,995",0.0,,0.7444,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF
PCT,14.86,,13.51,15.14,"27,083",9.26,18.03,83.6,78.6,-39.53,-5.67,74.68,132.53,"320,532",0.24,2.37,1.0157,#10B981,#10B981,#F87171,#F87171,#10B981,#10B981,#10B981,#10B981
PAR,52.3,,51.0,52.45,638,2.35,,55.39,77.17,,,7.59,,"4,066",-0.71,,0.9317,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
SLB,35.98,,35.22,36.22,"14,460",1.87,,44.65,38.55,6.76,,56.41,,"756,224",-0.01,,0.9018,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
NSIT,128.72,,124.58,129.13,35,1.6,,44.94,64.25,-17.48,,0.0,,103,0.0,,,#10B981,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
CYBR,446.28,,438.67,446.95,"1,584",1.88,,41.77,52.52,19.98,,-4.12,,"11,939",-0.37,,0.9321,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
NICE,140.33,,138.28,140.8,"2,423",1.22,1.79,43.8,42.18,,6.29,4.89,-20.79,"78,022",-0.11,-0.37,0.95,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#F87171,#F87171,#F87171
VRM,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
TWO,9.82,,9.81,9.94,"1,924",-0.41,,34.15,38.72,-23.04,,105.56,,"18,613",-0.02,,0.6948,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
LAB,1.28,,1.25,1.35,305,-0.78,,73.68,134.53,,,5.17,,"2,194",0.0,,1.2061,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
SMTC,58.13,,56.09,58.39,"3,770",-1.0,19.93,66.19,79.2,55.22,2.45,18.29,140.13,"40,743",-0.32,30.7,1.0367,#F87171,#10B981,#10B981,#10B981,#10B981,#10B981,#F87171,#10B981
PCG,15.08,,15.02,15.18,"32,840",0.2,,32.36,59.02,-5.89,,17.65,,"2,398,560",-0.01,,0.7286,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
FSLY,7.49,,7.2,7.55,"3,225",3.03,,72.19,75.77,12.25,,14.36,,"107,246",-0.26,,0.8604,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
RUN,15.8,,15.78,16.83,"55,858",-4.88,2.13,161.24,174.85,,50.82,10.36,-3.35,"1,042,426",-0.0,-1.91,0.8052,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#F87171
PDD,122.22,,120.02,122.48,"123,749",-1.36,,43.87,43.29,-52.35,,44.3,,"1,988,606",-0.01,,1.0966,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
WIX,136.38,,132.5,136.57,"4,927",3.59,7.45,52.21,46.27,,0.85,-4.68,-9.91,"34,678",0.57,6.82,1.019,#10B981,#10B981,#FFFFFF,#10B981,#F87171,#F87171,#10B981,#10B981
BFH,65.36,,64.38,65.74,588,2.35,9.59,44.19,48.08,25.83,0.91,12.86,-6.96,"4,181",-0.07,3.52,0.9929,#10B981,#10B981,#10B981,#10B981,#10B981,#F87171,#F87171,#10B981
W,74.49,,72.94,75.01,"28,084",2.06,-6.84,76.83,112.73,45.67,58.7,0.73,-4.6,"301,094",0.01,14.82,0.9161,#10B981,#F87171,#10B981,#10B981,#10B981,#F87171,#10B981,#10B981
VTR,67.87,,67.67,68.18,"2,586",0.4,,21.91,18.9,,,0.43,,"11,540",-0.14,,0.8935,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
ENOV,31.02,,30.88,31.76,411,-0.48,,57.84,49.93,-11.78,,-9.67,,"8,746",-0.03,,1.0212,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
CFLT,18.85,,18.0,18.9,"16,723",6.14,10.11,85.34,67.47,,3.54,73.06,15.07,"317,838",0.01,5.64,0.8706,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#10B981
CMPO,19.85,,19.03,19.9,"2,620",0.33,,46.82,40.99,,,39.21,,"32,410",1.21,,1.0799,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
NCLH,24.88,,24.53,25.01,"14,163",0.48,,53.98,55.55,,,2.51,,"447,806",0.0,,1.0096,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
KPTI,7.81,,7.46,8.15,"1,289",4.69,,106.34,239.36,2.63,,6.97,,"18,987",0.0,,0.6521,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
IIIV,30.96,,30.64,31.49,50,0.72,,39.19,34.68,-27.3,,0.0,,721,-0.69,,0.9032,#10B981,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF
CTO,17.14,,17.05,17.2,163,1.06,,25.32,18.76,-17.88,,10.14,,"1,999",-0.1,,0.7304,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
PEB,11.24,,10.89,11.27,64,3.12,,55.55,70.81,19.12,,0.0,,944,48.66,,1.2857,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
MOMO,8.14,,8.05,8.2,"1,438",-1.69,,39.22,62.02,23.27,,-17.21,,"43,031",-0.09,,,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
SNAP,6.99,,6.99,7.07,"59,299",-0.43,,69.48,77.64,-9.24,,58.09,,"1,849,877",0.05,,0.9895,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
CSIQ,10.34,,10.28,11.24,"7,700",-9.22,,92.35,85.63,-10.73,,45.97,,"69,397",-0.02,,0.7697,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
PCRX,26.13,,25.98,26.86,518,0.54,,44.3,52.39,4.95,,2.37,,"2,150",-1.06,,1.214,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
MMM,156.53,,155.75,157.2,"16,325",-0.03,,34.99,26.37,-23.33,,6.93,,"160,053",0.0,,0.9138,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
LI,22.6,,22.42,23.46,"68,467",-8.32,,48.96,78.86,24.57,,233.38,,"317,687",0.0,,0.9843,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
CENX,22.7,,21.81,22.71,"2,049",1.11,3.94,66.92,46.87,-12.74,-22.8,-23.72,-47.6,"66,643",-0.05,4.93,1.1317,#10B981,#10B981,#F87171,#F87171,#F87171,#F87171,#F87171,#10B981
SPOT,692.99,,686.91,698.98,"17,471",-0.5,,49.73,46.4,,,9.67,,"143,829",-0.21,,0.9362,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
PODD,334.35,,329.65,335.86,"2,094",0.76,,44.54,55.48,,,-10.13,,"10,689",0.74,,1.1275,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF
V,350.35,,349.84,353.42,"22,505",-0.24,,27.34,22.48,,,23.15,,"368,914",-0.13,,0.9552,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
AKAM,78.27,,77.06,78.38,"3,825",1.73,2.91,39.18,48.1,-7.94,16.92,39.75,29.49,"92,294",2.06,8.77,0.8871,#10B981,#10B981,#F87171,#10B981,#10B981,#10B981,#10B981,#10B981
LYFT,16.25,,16.17,16.81,"46,371",-3.27,4.37,60.66,65.02,,-8.43,61.66,-20.62,"716,363",-0.03,7.21,0.9482,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#F87171,#F87171,#10B981
WKC,27.1,,26.59,27.17,41,1.69,,29.06,22.98,,,0.0,,431,0.0,,1.2425,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
NRG,148.12,,146.37,149.23,"7,087",1.29,,60.42,53.89,-0.19,,14.88,,"71,750",-1.51,,0.9314,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
XIFR,10.24,,10.1,10.29,"1,011",0.99,,55.16,101.4,-3.28,,4.55,,"198,632",-0.09,,0.9295,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
CABO,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
IART,14.87,,14.59,15.12,113,0.75,,71.61,104.52,,,-13.74,,881,-1.34,,0.9965,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
TGT,97.96,,96.37,98.17,"53,482",1.92,,38.2,38.75,4.28,,20.22,,"685,020",-0.01,,0.859,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
PTON,7.68,,7.52,7.79,"27,852",1.45,-0.65,77.53,71.8,,-15.92,28.94,1.19,"601,001",-0.04,1.35,0.9798,#10B981,#F87171,#FFFFFF,#F87171,#10B981,#10B981,#F87171,#10B981
PTCT,49.78,,48.86,50.7,"1,682",0.65,1.9,63.2,47.24,-26.87,-2.63,0.96,-38.99,"28,947",0.0,3.91,0.9442,#10B981,#10B981,#F87171,#F87171,#10B981,#F87171,#FFFFFF,#10B981
TRIP,17.11,,17.05,17.5,"3,309",-0.18,-0.29,64.95,66.6,,-20.59,-1.63,-61.02,"143,245",0.01,-2.47,0.8581,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#F87171,#10B981,#F87171
ITGR,108.07,,107.75,109.21,32,-0.36,0.72,31.84,36.31,2.07,-63.65,0.0,14.29,248,2.9,6.44,0.8995,#F87171,#10B981,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#10B981
CHRS,1.14,,1.09,1.16,590,0.88,,85.41,114.19,,,-31.07,,"14,200",-0.41,,1.8738,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
VAC,78.56,,77.73,78.75,382,1.37,6.88,51.86,39.41,-39.22,-1.33,0.0,-12.79,"2,498",-1.07,2.08,0.8539,#10B981,#10B981,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#10B981
CVX,159.24,,157.36,159.99,"46,672",1.19,,29.18,17.57,-28.52,,144.75,,"640,127",-0.01,,0.8534,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
NVAX,7.58,,7.36,7.77,"21,467",1.07,,89.89,118.62,-20.33,,190.96,,"338,735",-0.01,,0.9812,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
FLR,41.1,,40.38,41.31,"9,144",-0.75,0.54,69.21,48.46,-44.69,-3.51,2.17,-64.72,"149,431",-0.02,16.49,0.9575,#F87171,#10B981,#F87171,#F87171,#10B981,#F87171,#F87171,#10B981
MDRX,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
SE,182.91,,182.77,188.88,"16,163",-2.86,,53.2,49.26,-15.75,,5.46,,"341,803",-0.22,,1.0203,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
IDCC,269.68,,265.35,270.65,787,1.06,3.74,34.8,49.68,-40.75,-12.96,-1.62,17.29,"4,044",0.32,7.75,0.969,#10B981,#10B981,#F87171,#F87171,#F87171,#10B981,#10B981,#10B981
OKTA,93.03,,92.17,98.87,"113,798",1.61,,48.21,49.87,,,39.37,,"275,258",-0.07,,1.098,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
ASND,193.01,,192.94,196.66,"1,849",-1.86,,38.17,47.77,,,0.05,,"8,011",-0.16,,1.0381,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
NOTV,1.76,,1.73,1.78,"1,526",1.15,,156.36,161.77,-4.06,,1.8,,"3,984",-1.63,,0.9769,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
PR,14.15,,13.77,14.28,"2,019",2.02,6.31,51.05,34.53,-14.18,-21.62,38.76,-15.88,"96,186",-0.02,3.63,0.8407,#10B981,#10B981,#F87171,#F87171,#10B981,#F87171,#F87171,#10B981
ECPG,41.75,,41.06,42.01,245,1.04,,58.19,60.11,,,0.0,,"1,029",-9.74,,1.6603,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF
ASRT,0.77,,0.77,0.79,170,-1.28,,53.37,154.7,,,-2.86,,"20,983",0.01,,1.2106,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF
BKD,7.84,,7.71,7.86,731,1.42,,47.41,68.69,-3.32,,0.0,,"10,459",7.02,,0.9719,#10B981,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
GPN,87.84,,87.84,89.19,"3,680",-0.44,,54.45,42.12,,,15.58,,"108,992",-0.42,,0.816,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
OMCL,33.23,,32.48,33.33,137,1.56,,46.99,47.63,10.47,,-8.05,,979,-0.1,,1.37,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
SHOP,139.89,,137.28,142.5,"35,968",-0.68,,62.56,70.19,14.21,,27.47,,"497,639",-0.05,,0.917,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
TTEK,36.98,,36.72,37.17,"2,886",0.46,3.7,29.17,26.16,-15.39,-35.67,1.55,-17.42,"26,239",-0.05,-0.24,0.9432,#10B981,#10B981,#F87171,#F87171,#10B981,#F87171,#F87171,#F87171
HAE,55.03,,54.59,55.7,"1,571",-0.36,1.07,58.84,45.78,,5.68,1.75,2.81,"16,193",0.72,17.03,1.0878,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#10B981
RH,228.0,,222.04,231.91,"12,543",3.08,,81.61,86.53,8.7,,14.63,,"86,999",-1.05,,0.8403,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
GTLS,198.0,,197.98,198.49,"1,820",-0.2,-0.13,56.23,47.57,-5.34,4.75,2.36,-0.98,"7,283",-0.95,17.34,0.8717,#F87171,#F87171,#F87171,#10B981,#10B981,#F87171,#F87171,#10B981
NVMI,263.55,,258.36,266.04,865,1.56,6.93,53.84,61.37,40.72,33.88,-2.04,5.23,"10,980",-0.07,5.06,0.8632,#10B981,#10B981,#10B981,#10B981,#F87171,#10B981,#F87171,#10B981
NEO,7.08,,6.65,7.12,"4,980",5.67,,93.51,78.86,-9.03,,44.81,,"20,050",-2.03,,0.6049,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
TNDM,12.25,,12.19,12.73,"1,282",0.08,,72.97,71.5,-11.79,,1.26,,"10,965",-1.04,,0.7515,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
SIRI,23.66,,22.97,23.71,"11,311",2.25,6.82,43.41,58.39,-25.89,36.5,37.97,4.66,"436,433",0.03,1.82,0.7943,#10B981,#10B981,#F87171,#10B981,#10B981,#10B981,#10B981,#10B981
PPL,36.62,,36.46,36.86,"1,776",0.27,,19.5,14.06,-46.3,,58.86,,"48,205",-11.0,,0.8112,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
VSH,15.54,,15.22,15.54,479,0.71,,67.66,48.97,5.33,,27.73,,"8,452",0.65,,0.8927,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
ALNY,454.18,,447.63,455.4,"3,405",0.66,,47.34,47.26,-43.98,,-9.42,,"17,492",1.55,,1.0568,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF
SPB,56.52,,55.22,56.62,878,1.87,,41.55,38.19,0.07,,0.11,,"6,661",0.0,,1.1084,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
VRNS,58.49,,57.6,58.6,651,1.92,0.38,30.58,31.48,-27.92,-29.99,0.62,-12.03,"5,483",0.59,17.94,1.0301,#10B981,#10B981,#F87171,#F87171,#10B981,#F87171,#10B981,#10B981
FRPT,57.46,,57.07,58.3,"3,153",-1.07,-5.65,52.33,58.91,3.07,2.69,4.75,-10.88,"31,223",-1.1,7.82,0.8904,#F87171,#F87171,#10B981,#10B981,#10B981,#F87171,#F87171,#10B981
INVA,19.84,,19.8,20.27,64,-0.45,,23.82,27.86,-7.47,,-1.54,,"2,206",-0.14,,1.4817,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
INSM,134.53,,131.54,134.74,"4,992",1.79,,56.16,54.71,63.81,,-10.31,,"73,011",-0.2,,0.9383,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
MCHP,66.65,,66.29,67.22,"35,818",-1.43,,68.64,69.86,34.06,,5.3,,"258,258",-0.92,,0.8057,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
SPCE,3.09,,3.08,3.16,"22,343",-1.59,,97.03,174.54,-9.64,,29.63,,"241,158",-0.16,,0.9501,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
AVGO,300.25,,293.78,301.18,"134,676",0.75,,45.43,59.77,,,106.74,,"1,841,855",0.11,,0.9057,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
NEE,73.89,,73.41,75.01,"71,440",-1.27,,32.61,30.57,,,496.43,,"624,262",-0.03,,0.8585,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
CHEF,62.61,,61.11,62.98,"1,075",-0.76,1.13,36.92,34.0,,-3.71,-0.09,0.47,"2,953",-0.1,3.91,0.9178,#F87171,#10B981,#FFFFFF,#F87171,#F87171,#10B981,#F87171,#10B981
DXCM,76.38,,74.74,76.97,"13,523",0.34,,45.86,40.81,,,85.48,,"139,246",-0.05,,1.0351,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
ZTO,18.8,,18.6,18.89,"2,068",-1.93,,39.21,42.95,-27.97,,29.49,,"34,120",0.09,,1.266,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
CAKE,61.91,,61.75,62.42,"1,826",-0.05,-0.02,35.68,42.35,-14.38,-18.55,18.19,-9.92,"20,514",-0.18,2.97,0.8918,#F87171,#F87171,#F87171,#F87171,#10B981,#F87171,#F87171,#10B981
GPRE,9.95,,9.84,10.38,"6,289",-1.58,,78.23,79.33,,,-3.07,,"83,329",-3.52,,1.0358,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
VNET,7.8,,7.66,7.87,"1,777",-0.13,-2.26,93.55,84.65,-5.48,-23.84,-1.71,-45.99,"82,498",0.38,15.53,0.9275,#F87171,#F87171,#F87171,#F87171,#F87171,#F87171,#10B981,#10B981
HTHT,35.64,,35.35,35.98,222,-2.3,1.37,36.08,33.71,-39.62,-59.57,-91.37,-93.54,"15,523",-0.33,11.8,1.465,#F87171,#10B981,#F87171,#F87171,#F87171,#F87171,#F87171,#10B981
ABBV,208.06,,207.82,210.42,"11,095",-0.14,,29.47,22.36,-45.5,,22.57,,"309,906",-0.15,,0.9019,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
BE,50.85,,49.25,50.97,"60,561",1.82,14.24,78.97,132.42,12.85,15.06,51.96,-27.85,"547,968",-0.0,10.4,0.8772,#10B981,#10B981,#10B981,#10B981,#10B981,#F87171,#FFFFFF,#10B981
AAL,13.13,,13.03,13.36,"116,207",-0.15,2.58,65.16,56.53,,-23.82,36.63,-8.81,"3,107,381",-0.15,3.35,0.8458,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#F87171,#F87171,#10B981
BXMT,19.43,,19.32,19.53,"1,708",0.15,2.37,27.12,31.57,23.37,33.79,16.99,9.77,"73,853",-0.57,1.1,0.8777,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#F87171,#10B981
