Date,Call Volume,Put Volume,Underlying Price,Rvol_100d,ATM IV,IVol - Rvol
25/04/2025,342,356,209.64,0.7773,0.6639,-0.1133
28/04/2025,335,339,205.27,0.7768,0.6627,-0.114
29/04/2025,273,273,206.13,0.7757,0.66,-0.1157
30/04/2025,293,296,202.89,0.7674,0.6449,-0.1224
01/05/2025,344,346,201.3,0.7662,0.6647,-0.1015
02/05/2025,335,339,204.93,0.7578,0.6334,-0.1244
05/05/2025,323,324,199.4,0.7429,0.6352,-0.1077
06/05/2025,307,308,196.89,0.7422,0.6424,-0.0997
07/05/2025,289,294,196.56,0.7392,0.6412,-0.098
08/05/2025,441,445,206.5,0.7442,0.6365,-0.1077
09/05/2025,384,384,199.32,0.7458,0.6161,-0.1297
12/05/2025,383,394,207.22,0.7483,0.5871,-0.1612
13/05/2025,650,654,256.9,0.8251,0.6576,-0.1675
14/05/2025,536,543,263.41,0.8086,0.6317,-0.1769
15/05/2025,542,561,244.44,0.8165,0.6338,-0.1826
16/05/2025,558,569,266.46,0.8277,0.6396,-0.1881
19/05/2025,451,452,263.99,0.8256,0.6506,-0.1749
20/05/2025,441,443,261.38,0.8229,0.6391,-0.1839
21/05/2025,468,469,258.99,0.8225,0.6524,-0.1702
22/05/2025,519,530,271.95,0.8247,0.662,-0.1627
23/05/2025,401,401,263.16,0.824,0.635,-0.189
27/05/2025,367,375,266.4,0.8229,0.6212,-0.2016
28/05/2025,407,409,254.29,0.8244,0.608,-0.2164
29/05/2025,413,416,248.84,0.821,0.6258,-0.1952
30/05/2025,349,351,246.62,0.815,0.5962,-0.2188
02/06/2025,342,355,246.72,0.8039,0.5834,-0.2205
03/06/2025,392,393,258.91,0.8073,0.6051,-0.2022
04/06/2025,342,347,256,0.8074,0.6122,-0.1952
05/06/2025,402,407,244.2,0.8095,0.5945,-0.2151
06/06/2025,320,324,251.27,0.8104,0.56,-0.2504
09/06/2025,294,294,256.63,0.8024,0.5662,-0.2363
10/06/2025,316,316,254.94,0.8015,0.5782,-0.2233
11/06/2025,327,330,250.68,0.798,0.5694,-0.2286
12/06/2025,379,380,241.05,0.8002,0.5659,-0.2343
13/06/2025,354,361,242.71,0.8003,0.5716,-0.2286
16/06/2025,395,399,261.57,0.8095,0.578,-0.2315
17/06/2025,335,339,253.85,0.8107,0.5839,-0.2267
18/06/2025,591,618,295.29,0.8388,0.6313,-0.2076
20/06/2025,530,550,308.38,0.8413,0.632,-0.2093
23/06/2025,489,495,307.59,0.8399,0.6002,-0.2397
24/06/2025,684,694,344.82,0.8574,0.6035,-0.2539
25/06/2025,611,661,355.37,0.8568,0.6233,-0.2334
26/06/2025,708,719,375.07,0.8597,0.6467,-0.213
27/06/2025,618,644,353.43,0.8649,0.6378,-0.2271
30/06/2025,517,525,350.49,0.8644,0.6346,-0.2298
01/07/2025,546,552,335.33,0.867,0.6142,-0.2528
02/07/2025,474,478,354.45,0.8709,0.6362,-0.2347
03/07/2025,335,348,355.8,0.8704,0.6186,-0.2518
07/07/2025,396,422,357.1,0.8666,0.6266,-0.24
08/07/2025,404,419,354.82,0.8656,0.6199,-0.2457
09/07/2025,483,495,373.85,0.8602,0.6145,-0.2457
10/07/2025,509,546,388.96,0.8511,0.6552,-0.196
11/07/2025,497,516,387.06,0.8489,0.6288,-0.2201
14/07/2025,532,534,394.01,0.8481,0.6263,-0.2218
15/07/2025,490,494,388.02,0.8485,0.6258,-0.2227
16/07/2025,537,544,398.2,0.8366,0.6272,-0.2094
17/07/2025,564,585,410.75,0.835,0.6001,-0.2349
18/07/2025,632,658,419.78,0.8272,0.6339,-0.1933
21/07/2025,532,532,413.63,0.8279,0.6273,-0.2006
22/07/2025,514,517,404.44,0.828,0.6271,-0.2008
23/07/2025,521,526,397.81,0.8276,0.6045,-0.223
24/07/2025,412,417,396.7,0.8233,0.6002,-0.2232
25/07/2025,423,424,391.66,0.8229,0.5914,-0.2314
28/07/2025,525,527,379.49,0.8226,0.5948,-0.2278
29/07/2025,476,478,371.44,0.8208,0.5983,-0.2225
30/07/2025,435,445,377.48,0.8208,0.5899,-0.2309
31/07/2025,494,507,377.76,0.7564,0.5802,-0.1762
01/08/2025,676,676,314.69,0.8084,0.6115,-0.197
04/08/2025,517,518,318.17,0.8084,0.5678,-0.2407
05/08/2025,575,579,297.99,0.8056,0.5994,-0.2062
06/08/2025,552,559,303.58,0.8048,0.5883,-0.2165
07/08/2025,514,515,310.79,0.8043,0.5719,-0.2324
08/08/2025,456,458,310.54,0.8008,0.5606,-0.2402
11/08/2025,578,581,319.62,0.7989,0.5684,-0.2305
12/08/2025,473,481,322.62,0.799,0.5658,-0.2331
13/08/2025,520,521,327.01,0.799,0.5722,-0.2268
14/08/2025,418,428,324.89,0.793,0.5756,-0.2174
15/08/2025,366,367,317.55,0.7942,0.5706,-0.2237
18/08/2025,418,418,320.73,0.7892,0.5563,-0.2328
19/08/2025,487,488,302.07,0.7942,0.5836,-0.2106
20/08/2025,498,499,304.39,0.7822,0.5689,-0.2133
21/08/2025,368,371,300.28,0.7824,0.5641,-0.2184
22/08/2025,448,449,319.85,0.7877,0.561,-0.2266
25/08/2025,417,418,306,0.7889,0.5621,-0.2269
26/08/2025,405,405,308.48,0.7799,0.5599,-0.22
27/08/2025,380,380,308.97,0.7724,0.5663,-0.206
28/08/2025,352,353,308.47,0.7713,0.5378,-0.2335
29/08/2025,338,341,304.54,0.7686,0.5461,-0.2225
02/09/2025,366,366,303.56,0.7306,0.5496,-0.181
03/09/2025,357,357,302.31,0.7306,0.5923,-0.1382
04/09/2025,345,351,306.8,0.7306,0.5405,-0.1901
05/09/2025,423,425,299.07,0.7306,0.5437,-0.1869
08/09/2025,376,377,302.2,0.7306,0.5346,-0.1959
09/09/2025,414,422,318.78,0.7306,0.5495,-0.181
10/09/2025,411,414,315.34,0.7306,0.58,-0.1506
