Pair,Price,Day,Weekly,Monthly,YTD,YoY,Date
USDNIO,36.7300,0.0700,-0.19%,-0.19%,-0.03%,0.36%,-0.32%
USDHTG,130.910,0.060,0.05%,0.08%,0.20%,0.55%,-0.86%
USDBSD,1.00040,0.00040,0.04%,0.04%,0.19%,0.04%,-0.12%
USDSRD,39.3374,0.1154,0.29%,1.68%,4.24%,10.98%,34.29%
USDGYD,208.600,0.600,-0.29%,-0.29%,-0.29%,-0.29%,-0.19%
USDKYD,0.83125,0.00000,0.00%,0.00%,0.00%,0.00%,0.15%
USDVES,160.24740,0.00010,0.00%,2.61%,17.21%,208.78%,336.35%
USDIDR,16416.7,44.7,0.27%,-0.24%,1.23%,0.92%,6.94%
USDSAR,3.75030,0.00080,-0.02%,-0.05%,-0.05%,-0.16%,-0.08%
USDTWD,30.0630,0.1451,-0.48%,-1.00%,0.05%,-8.35%,-5.92%
USDIRR,42050.0,0.0,0.00%,0.00%,0.11%,0.12%,0.12%
USDAED,3.67250,0.00050,-0.01%,-0.01%,-0.01%,-0.02%,-0.01%
USDTHB,31.6750,0.115,-0.36%,-0.15%,-2.61%,-7.71%,-5.14%
USDMYR,4.20650,0.00000,0.00%,0.01%,-0.38%,-5.93%,-1.35%
USDPHP,56.8600,0.2250,-0.39%,-0.32%,-0.32%,-2.11%,1.86%
USDIQD,1310.00,0.05,0.00%,0.00%,0.00%,0.08%,-0.17%
USDKZT,540.470,0.435,-0.08%,0.68%,0.29%,3.03%,12.69%
USDQAR,3.64080,0.00450,-0.12%,-0.13%,-0.10%,-0.10%,-0.12%
USDVND,26382.5,2.5,-0.01%,-0.02%,0.31%,3.54%,7.16%
USDBDT,121.7500,0.0250,0.02%,0.04%,0.21%,2.31%,1.71%
USDOMR,0.38500,0.00020,0.06%,0.06%,0.06%,0.00%,0.00%
USDAZN,1.70000,0.00000,0.00%,0.00%,0.00%,0.30%,0.00%
USDLKR,302.070,0.120,0.04%,0.03%,0.37%,3.03%,-0.14%
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%
USDUZS,12300.0,44.6,-0.36%,-0.45%,-2.09%,-4.65%,-3.53%
USDMOP,8.02000,0.00300,0.04%,-0.09%,-0.47%,0.20%,-0.25%
USDTMT,3.51000,0.01050,0.30%,0.30%,0.30%,0.44%,0.29%
USDLBP,89591.75,41.75,0.05%,0.05%,0.20%,0.10%,-0.12%
USDYER,239.550,0.070,0.03%,-0.02%,-0.24%,-3.82%,-4.17%
USDBHD,0.37700,0.00000,-0.01%,-0.01%,0.00%,-0.03%,0.05%
USDAFN,68.5000,1.3700,2.04%,0.35%,0.20%,-2.63%,-1.44%
USDNPR,140.915,0.230,-0.16%,-0.04%,0.85%,2.87%,5.05%
USDBND,1.27610,0.00430,-0.34%,-0.53%,-0.52%,-6.53%,-1.50%
USDKHR,4008.00,1.00,0.02%,0.00%,0.21%,-0.22%,-0.96%
USDGEL,2.70850,0.00300,0.11%,0.61%,0.50%,-3.78%,0.20%
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%
USDMNT,3603.00,6.00,0.17%,0.17%,0.17%,5.35%,6.57%
USDLAK,21650.0,23.0,-0.11%,-0.13%,0.18%,-0.24%,-2.12%
USDAMD,383.120,0.000,0.00%,0.04%,0.24%,-3.14%,-1.16%
USDTJS,9.4144,0.0756,-0.80%,-0.48%,1.11%,-13.23%,-11.75%
USDKGS,87.4486,0.0014,0.00%,0.00%,0.08%,0.52%,3.42%
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%
USDKWD,0.30490,0.00040,-0.13%,-0.20%,-0.27%,-1.11%,-0.05%
USDJOD,0.70900,0.00000,0.00%,0.00%,0.00%,-0.06%,0.07%
USDPGK,4.17000,0.01000,-0.24%,-0.16%,0.38%,2.66%,4.94%
USDXPF,100.875,0.735,-0.72%,-1.16%,-1.01%,-12.21%,-5.98%
USDFJD,2.23130,0.00450,-0.20%,-1.78%,-1.07%,-4.24%,1.07%
USDNGN,1495.190,3.860,-0.26%,-0.69%,-2.60%,-3.17%,-8.86%
USDZMW,23.3900,0.5930,-2.47%,-2.70%,0.34%,-16.48%,-11.63%
USDEGP,48.0800,0.0900,-0.19%,0.23%,-0.49%,-5.34%,-0.56%
USDDZD,129.209,0.423,-0.33%,-0.50%,-0.35%,-4.52%,-2.32%
USDAOA,917.000,1.650,-0.18%,-0.53%,-0.18%,-0.61%,-2.00%
USDMAD,8.96200,0.05000,-0.55%,-0.60%,-0.64%,-11.42%,-8.10%
USDSDG,601.500,1.329,0.22%,0.20%,0.19%,0.45%,0.45%
USDKES,129.150,0.050,-0.04%,-0.04%,-0.04%,0.23%,-0.05%
USDETB,144.4500,0.0855,0.06%,0.42%,2.72%,13.21%,26.51%
USDTZS,2475.00,5.00,-0.20%,0.00%,-5.12%,2.06%,-9.17%
USDTND,2.88380,0.02870,-0.99%,-1.05%,-1.18%,-9.56%,-4.90%
USDLYD,5.41500,0.00870,0.16%,0.34%,0.12%,10.43%,13.27%
USDGHS,12.25000,0.03500,0.29%,1.45%,13.95%,-16.67%,-21.97%
USDCDF,2880.00,5.00,-0.17%,-1.00%,-1.12%,0.82%,1.41%
USDUGX,3504.27,0.81,0.02%,0.04%,-1.47%,-4.58%,-5.82%
USDMZN,63.9100,0.0000,0.00%,0.00%,0.46%,0.01%,0.01%
USDBWP,14.1453,0.0219,-0.15%,-1.13%,-0.32%,1.28%,7.08%
USDXAF,555.766,12.654,-2.23%,-2.69%,-0.84%,-13.20%,-5.82%
USDNAD,17.3484,0.0116,-0.07%,-1.11%,-1.61%,-7.88%,-1.81%
USDSSP,4552.056,0.000,0.00%,0.26%,0.43%,17.23%,49.19%
USDMUR,45.2600,0.2300,-0.51%,-1.22%,-0.83%,-3.29%,-1.18%
USDMGA,4470.00,48.61,1.10%,0.65%,0.62%,-4.74%,-1.33%
USDRWF,1445.00,5.25,-0.36%,-0.32%,-0.06%,5.53%,8.02%
USDGNF,8673.00,0.00,0.00%,0.02%,0.03%,0.83%,0.21%
USDMRO,39.9400,0.0700,-0.18%,-0.05%,-0.22%,0.43%,0.48%
USDSLL,23126.4,215.9,-0.92%,0.00%,-0.74%,1.09%,1.90%
USDXOF,554.500,4.500,-0.81%,-0.62%,-1.07%,-11.53%,-6.03%
USDMWK,1733.670,0.000,0.00%,0.00%,0.00%,0.00%,-0.18%
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%
USDSZL,17.3400,0.0275,-0.16%,-1.03%,-1.22%,-7.86%,-1.78%
USDBIF,2984.53,0.03,0.00%,0.02%,0.08%,0.92%,2.83%
USDLSL,17.3484,0.0090,-0.05%,-1.11%,-1.32%,-7.88%,-1.81%
USDLRD,178.000,0.000,0.00%,-10.78%,-11.22%,-3.52%,-11.00%
USDCVE,93.4766,0.6749,-0.72%,-0.98%,-1.45%,-12.37%,-6.04%
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,-0.17%
USDSCR,14.7554,0.2220,-1.48%,-0.81%,-1.30%,3.54%,8.34%
USDSOS,571.731,0.231,0.04%,0.04%,0.04%,0.66%,0.66%
USDGMD,73.3750,0.0500,0.07%,1.21%,0.76%,1.70%,4.45%
USDKMF,415.000,4.150,-0.99%,-1.22%,-1.75%,-12.44%,-6.26%
USDSTD,20.8550,0.1848,-0.88%,-1.34%,-1.35%,-12.76%,-5.38%
USDZIG,26.717,0.016,-0.06%,0.02%,-0.19%,3.56%,89.52%
