Crypto,Price,Day,Weekly,Monthly,YTD,YoY,MarketCap,Date
Ethena USDe,1.00,0.00,0.02%,-0.02%,0.02%,0.25%,0.23%,"$12,118M"
Hedera,0.24,0.00,0.62%,4.60%,-5.38%,-11.25%,378.19%,"$10,114M"
BTCETH,25.5945,0.0937,0.37%,-1.13%,-2.56%,-8.64%,-0.70%,Sep/16
BTCEUR,98521.2,377.0,0.38%,3.37%,-1.13%,9.37%,81.98%,Sep/16
BTCGBP,85678.9,798.4,0.94%,3.86%,-0.46%,14.95%,87.36%,Sep/16
BTCAUD,174901.6,"1,878.8",1.09%,3.27%,-2.30%,16.02%,96.37%,Sep/16
BTCCAD,160615.3,"1,591.9",1.00%,4.00%,0.08%,19.72%,96.23%,Sep/16
BTCCNY,830559,"8,746",1.06%,4.54%,-0.61%,21.31%,94.05%,Sep/16
BTCJPY,17123051,"106,772",0.63%,4.16%,-0.44%,16.62%,100.29%,Sep/16
BTCNZD,195721.3,"2,260.2",1.17%,4.00%,-0.30%,17.31%,101.26%,Sep/16
BTCCHF,91867.6,124.9,0.14%,3.29%,-2.14%,8.50%,80.27%,Sep/16
BTCMXN,2137881,"18,247",0.86%,2.91%,-2.08%,9.89%,85.71%,Sep/16
BTCINR,10276566,"103,194",1.01%,4.41%,1.23%,28.69%,103.73%,Sep/16
BTCBRL,619349,"5,499",0.90%,2.09%,-2.03%,7.33%,87.59%,Sep/16
BTCRUB,9591323,"9,305",0.10%,2.74%,2.78%,-9.43%,74.09%,Sep/16
BTCKRW,161206958,"1,295,776",0.81%,4.04%,-0.17%,16.87%,102.85%,Sep/16
BTCIDR,1919440564,"29,358,652",1.55%,4.58%,1.79%,26.45%,107.64%,Sep/16
BTCTRY,4829579,"63,795",1.34%,5.00%,1.65%,46.48%,135.40%,Sep/16
BTCSAR,438555,"5,512",1.27%,4.79%,0.52%,25.12%,94.05%,Sep/16
BTCSEK,1078893,"7,751",0.72%,3.13%,-2.92%,4.51%,76.04%,Sep/16
BTCNGN,174878413,"1,819,087",1.05%,4.14%,-2.02%,21.38%,77.03%,Sep/16
BTCPLN,418713,"1,970",0.47%,3.36%,-1.06%,8.64%,81.02%,Sep/16
BTCARS,171758204,"2,535,934",1.50%,8.77%,14.27%,78.54%,196.80%,Sep/16
BTCNOK,1141128,"7,067",0.62%,2.56%,-3.82%,7.42%,78.89%,Sep/16
BTCTWD,3515434,"28,029",0.80%,3.80%,0.63%,14.85%,82.71%,Sep/16
BTCIRR,4854504300,"1,219,450",0.03%,2.98%,-1.63%,23.87%,98.39%,Sep/15
ETHBTC,0.0390492,0.0001653,-0.42%,1.09%,2.57%,9.40%,0.65%,Sep/16
ETHEUR,3795.24,53.43,-1.39%,3.09%,2.68%,18.03%,80.70%,Sep/16
ETHGBP,3300.53,28.01,-0.84%,3.58%,3.38%,24.06%,86.03%,Sep/16
ETHAUD,6737.57,47.42,-0.70%,2.99%,1.46%,25.21%,94.98%,Sep/16
ETHCAD,6187.23,48.78,-0.78%,3.71%,3.94%,29.21%,94.84%,Sep/16
ETHCNY,31994.8,232.1,-0.72%,4.25%,3.22%,30.92%,92.68%,Sep/16
ETHJPY,659615,"7,668",-1.15%,3.87%,3.40%,25.86%,98.87%,Sep/16
ETHNZD,7539.59,46.88,-0.62%,3.71%,3.55%,26.61%,99.84%,Sep/16
ETHCHF,3538.93,58.71,-1.63%,3.01%,1.63%,17.10%,79.00%,Sep/16
ETHMXN,82355.6,764.6,-0.92%,2.63%,1.69%,18.59%,84.40%,Sep/16
ETHINR,395875,"3,069",-0.77%,4.12%,5.14%,38.89%,102.30%,Sep/16
ETHBRL,23858.6,213.2,-0.89%,1.81%,1.75%,15.83%,86.26%,Sep/16
ETHRUB,369430,"6,323",-1.68%,2.45%,6.73%,-2.27%,72.84%,Sep/16
ETHKRW,6210025,"60,802",-0.97%,3.75%,3.68%,26.13%,101.42%,Sep/16
ETHIDR,73940817,"177,683",-0.24%,4.29%,5.72%,36.47%,106.18%,Sep/16
ETHTRY,186045.4,842.2,-0.45%,4.71%,5.56%,58.08%,133.74%,Sep/16
ETHSAR,16894.1,87.5,-0.52%,4.50%,4.40%,35.03%,92.68%,Sep/16
ETHSEK,41561.2,443.1,-1.05%,2.84%,0.83%,12.79%,74.79%,Sep/16
ETHNGN,6736678,"49,746",-0.73%,3.86%,1.76%,30.99%,75.78%,Sep/16
ETHPLN,16129.7,212.7,-1.30%,3.08%,2.75%,17.24%,79.74%,Sep/16
ETHARS,6616481,"19,475",-0.29%,8.47%,18.68%,92.69%,194.71%,Sep/16
ETHNOK,43958.6,513.0,-1.15%,2.28%,-0.11%,15.93%,77.63%,Sep/16
ETHTWD,135421.8,"1,334.8",-0.98%,3.52%,4.51%,23.95%,81.42%,Sep/16
ETHIRR,190366658,"3,533,344",-1.82%,5.06%,2.45%,36.09%,97.32%,Sep/15
