Crypto,Price,Day,Weekly,Monthly,YTD,YoY,MarketCap,Date
Ethena USDe,1.00,0.00,-0.02%,0.00%,0.09%,0.25%,0.19%,"$12,115M"
Hedera,0.23,0.01,2.54%,6.62%,-5.20%,-12.99%,367.65%,"$9,675M"
BTCETH,25.9903,0.1028,0.40%,3.53%,-7.46%,-7.23%,6.02%,Sep/10
BTCEUR,95998.9,691.2,0.73%,0.22%,-6.08%,6.57%,84.05%,Sep/10
BTCGBP,83033.9,543.0,0.66%,-0.09%,-6.06%,11.40%,88.51%,Sep/10
BTCAUD,170105.7,744.6,0.44%,-0.34%,-6.69%,12.83%,97.69%,Sep/10
BTCCAD,155743.5,"1,307.6",0.85%,1.08%,-4.78%,16.09%,99.73%,Sep/10
BTCCNY,800207,"5,724",0.72%,0.35%,-6.32%,16.87%,95.52%,Sep/10
BTCJPY,16572896,"134,008",0.82%,0.26%,-5.78%,12.87%,102.32%,Sep/10
BTCNZD,189117.4,917.5,0.49%,-0.44%,-5.41%,13.36%,101.93%,Sep/10
BTCCHF,89612.3,674.1,0.76%,-0.20%,-7.06%,5.84%,83.00%,Sep/10
BTCMXN,2093341,"15,988",0.77%,0.18%,-5.57%,7.60%,84.06%,Sep/10
BTCINR,9902628,"60,201",0.61%,0.66%,-4.87%,24.01%,105.29%,Sep/10
BTCBRL,610517,"3,866",0.64%,0.26%,-5.53%,5.80%,87.52%,Sep/10
BTCRUB,9596474,"261,330",2.80%,6.06%,1.66%,-9.39%,82.48%,Sep/10
BTCKRW,156073015,"1,127,458",0.73%,0.49%,-5.50%,13.15%,102.93%,Sep/10
BTCIDR,1852746138,"17,280,471",0.94%,0.70%,-4.31%,22.06%,108.99%,Sep/10
BTCTRY,4639732,"40,238",0.87%,0.98%,-3.63%,40.72%,137.58%,Sep/10
BTCSAR,421627,"3,135",0.75%,0.59%,-5.38%,20.29%,95.64%,Sep/10
BTCSEK,1050702,"4,503",0.43%,-0.16%,-8.17%,1.78%,76.14%,Sep/10
BTCNGN,169163949,"1,243,991",0.74%,-1.65%,-7.16%,17.41%,77.98%,Sep/10
BTCPLN,409366,"4,278",1.06%,0.50%,-5.91%,6.21%,83.06%,Sep/10
BTCARS,159133598,"1,221,192",0.77%,4.65%,1.43%,65.42%,189.32%,Sep/10
BTCNOK,1115214,"2,565",0.23%,-0.52%,-8.10%,4.98%,78.87%,Sep/10
BTCTWD,3407565,"20,904",0.62%,-0.75%,-4.22%,11.32%,84.72%,Sep/10
BTCIRR,4689878550,"24,304,900",-0.52%,0.14%,-6.41%,19.67%,93.63%,Sep/09
ETHBTC,0.0385493,0.0000794,-0.21%,-3.23%,8.27%,8.00%,-5.50%,Sep/10
ETHEUR,3700.52,18.91,0.51%,-3.03%,1.68%,15.09%,73.93%,Sep/10
ETHGBP,3201.21,14.70,0.46%,-3.31%,1.72%,20.32%,78.17%,Sep/10
ETHAUD,6557.48,15.28,0.23%,-3.55%,1.02%,21.86%,86.83%,Sep/10
ETHCAD,6004.05,38.39,0.64%,-2.18%,3.10%,25.38%,88.76%,Sep/10
ETHCNY,30848.7,158.8,0.52%,-2.89%,1.42%,26.23%,84.78%,Sep/10
ETHJPY,638947,"3,934",0.62%,-2.96%,2.02%,21.92%,91.22%,Sep/10
ETHNZD,7290.51,20.59,0.28%,-3.65%,2.41%,22.43%,90.83%,Sep/10
ETHCHF,3454.70,19.14,0.56%,-3.41%,0.63%,14.31%,72.95%,Sep/10
ETHMXN,80703.3,457.8,0.57%,-3.05%,2.24%,16.21%,73.95%,Sep/10
ETHINR,381755,"1,554",0.41%,-2.59%,3.00%,33.94%,94.02%,Sep/10
ETHBRL,23527.7,93.6,0.40%,-3.01%,2.25%,14.22%,77.16%,Sep/10
ETHRUB,369952,"9,348",2.59%,2.64%,10.07%,-2.13%,72.46%,Sep/10
ETHKRW,6016444,"31,095",0.52%,-2.76%,2.32%,22.20%,91.78%,Sep/10
ETHIDR,71424936,"523,242",0.74%,-2.55%,3.61%,31.83%,97.51%,Sep/10
ETHTRY,178865.2,"1,192.6",0.67%,-2.28%,4.35%,51.98%,124.53%,Sep/10
ETHSAR,16254.1,88.3,0.55%,-2.65%,2.44%,29.91%,84.89%,Sep/10
ETHSEK,40509.8,96.4,0.24%,-3.37%,-0.56%,9.93%,66.48%,Sep/10
ETHNGN,6521414,"34,880",0.54%,-4.82%,0.52%,26.81%,68.21%,Sep/10
ETHPLN,15781.5,133.5,0.85%,-2.74%,1.87%,14.71%,73.01%,Sep/10
ETHARS,6134685,"34,731",0.57%,1.27%,9.82%,78.66%,173.43%,Sep/10
ETHNOK,42995.4,15.2,0.04%,-3.72%,-0.50%,13.39%,69.06%,Sep/10
ETHTWD,131360.2,537.8,0.41%,-3.96%,3.70%,20.23%,74.57%,Sep/10
ETHIRR,181164015,"33,640",-0.02%,-0.57%,1.39%,29.51%,80.65%,Sep/09
