Pair,Price,Day,Weekly,Monthly,YTD,YoY,Date
USDSDG,601.000,0.729,0.12%,0.09%,0.10%,0.37%,0.37%
USDKES,129.200,0.000,0.00%,0.00%,0.00%,0.27%,0.18%
USDETB,143.8512,0.0024,0.00%,0.56%,2.69%,12.74%,31.01%
USDTZS,2465.00,10.00,-0.40%,-1.20%,-1.99%,1.65%,-9.38%
USDTND,2.91610,0.00180,0.06%,0.06%,0.90%,-8.55%,-4.50%
USDLYD,5.40600,0.00910,0.17%,-0.42%,-0.28%,10.25%,13.34%
USDGHS,12.19790,0.12290,1.02%,1.44%,15.76%,-17.02%,-22.16%
USDCDF,2910.00,1.00,0.03%,0.22%,-0.07%,1.87%,2.46%
USDUGX,3509.60,6.69,0.19%,-0.66%,-1.54%,-4.44%,-5.62%
USDMZN,63.8900,0.0200,-0.03%,-0.03%,0.00%,-0.02%,-0.02%
USDBWP,13.3747,0.9316,-6.51%,-7.12%,-5.62%,-4.24%,0.31%
USDXAF,560.549,10.581,-1.85%,-2.13%,-2.23%,-12.45%,-5.56%
USDNAD,17.5230,0.0215,-0.12%,-0.81%,-1.34%,-6.95%,-2.11%
USDSSP,4540.326,0.000,0.00%,0.09%,0.27%,16.93%,49.73%
USDMUR,45.5000,0.3200,-0.70%,-1.52%,0.26%,-2.78%,-1.45%
USDMGA,4443.53,2.51,0.06%,0.91%,-0.22%,-5.30%,-2.06%
USDRWF,1448.81,0.86,-0.06%,-0.04%,0.09%,5.81%,6.75%
USDGNF,8671.00,0.00,0.00%,0.03%,-0.01%,0.80%,0.24%
USDMRO,39.8780,0.0820,-0.21%,-0.53%,-0.43%,0.27%,1.06%
USDSLL,23126.4,0.0,0.00%,-0.44%,0.18%,1.09%,1.95%
USDXOF,560.561,2.581,0.46%,-0.79%,-0.39%,-10.56%,-5.56%
USDMWK,1734.000,0.330,0.02%,0.02%,0.02%,0.02%,-0.09%
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%
USDSZL,17.5553,0.0340,0.19%,-0.63%,-1.15%,-6.72%,-1.66%
USDBIF,2984.08,0.08,0.00%,0.02%,0.07%,0.91%,2.97%
USDLSL,17.5200,0.0296,-0.17%,-0.83%,-1.21%,-6.96%,-2.12%
USDLRD,190.000,9.500,-4.76%,-5.47%,-5.24%,2.98%,-2.56%
USDCVE,94.2583,0.1456,-0.15%,-0.61%,-1.15%,-11.64%,-6.24%
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,0.03%
USDSCR,14.5944,0.2813,-1.89%,2.98%,3.28%,2.41%,7.15%
USDSOS,571.450,0.050,-0.01%,-0.01%,-0.01%,0.61%,0.61%
USDGMD,73.3250,0.8250,1.14%,0.51%,0.72%,1.63%,4.45%
USDKMF,420.500,0.360,0.09%,-0.65%,-0.92%,-11.28%,-5.84%
USDSTD,21.1243,0.0254,-0.12%,-0.47%,-0.86%,-11.63%,-6.74%
USDZIG,26.704,0.006,-0.02%,-0.22%,-0.23%,3.51%,93.71%
