Ticker,Date,Open,High,Low,Close,Realised_Vol_Close_30,Realised_Vol_Close_60,Realised_Vol_Close_100,Realised_Vol_Close_180,Realised_Vol_Close_252,Vol_of_Vol_100d,Vol_of_Vol_100d_Percentile,Kurtosis_100d
PI,2021-03-02,66.62000274658203,66.62000274658203,63.130001068115234,63.18000030517578,65.4392832540598,75.26421720906356,70.85421527482309,64.66139934554495,79.51334252229938,5.82,100.0,-1.37
PI,2021-03-03,62.40999984741211,63.810001373291016,59.11000061035156,59.400001525878906,67.74415192296264,76.53038896055997,71.64464625137941,65.1372545784304,78.92546269420755,5.92,100.0,-1.38
PI,2021-03-04,58.849998474121094,59.290000915527344,53.34000015258789,54.630001068115234,71.22892776375147,78.59523291672832,73.07398398210601,65.59342512081811,79.4045120902048,6.05,100.0,-1.37
PI,2021-03-05,55.709999084472656,55.91999816894531,50.290000915527344,55.29999923706055,70.84718713265313,78.48568138564563,73.07863923663696,65.4695857424292,78.04255761295582,6.16,100.0,-1.37
PI,2021-03-08,55.0,56.72999954223633,51.7400016784668,52.869998931884766,71.59171916587526,79.10800710425168,73.48070788943366,65.70248878338984,78.08797153687253,6.29,100.0,-1.37
PI,2021-03-09,54.04999923706055,56.810001373291016,54.04999923706055,55.0099983215332,72.66131955793973,78.61639752263146,73.49025501603062,65.83376071997085,77.80482355372708,6.4,100.0,-1.38
PI,2021-03-10,55.0099983215332,57.428001403808594,54.810001373291016,56.36000061035156,70.87312583466327,78.58810833528615,73.5282835578357,65.87824473528113,77.767646052439,6.52,100.0,-1.4
PI,2021-03-11,58.400001525878906,60.81999969482422,58.0,60.689998626708984,73.8801711138283,79.59147451001559,74.21472189156472,66.39143908760032,77.7929985572381,6.63,100.0,-1.4
PI,2021-03-12,59.70000076293945,60.16999816894531,57.47999954223633,59.72999954223633,74.06636575994912,79.72069333964866,74.26589716414908,66.26866537756904,76.27904513982247,6.75,100.0,-1.41
PI,2021-03-15,60.2599983215332,62.400001525878906,59.22999954223633,60.959999084472656,70.78640624259835,79.70429389265321,74.2099561090882,66.29361257219637,76.29421737431312,6.84,98.0,-1.42
PI,2021-03-16,61.20000076293945,62.84000015258789,60.36000061035156,61.599998474121094,69.17672195666358,79.70899817126889,74.21128007707942,65.85603992643155,72.16047252954117,6.93,98.0,-1.43
PI,2021-03-17,60.689998626708984,63.869998931884766,59.314998626708984,63.2400016784668,68.33324811442824,79.80622631416469,74.23503222443297,65.80423898628823,71.86988767244584,7.02,99.0,-1.44
PI,2021-03-18,62.45000076293945,62.900001525878906,59.630001068115234,59.63999938964844,70.57613427204592,80.60740333463316,74.79473031871434,66.1528826858228,71.92467740495593,7.11,100.0,-1.44
PI,2021-03-19,59.86000061035156,60.79999923706055,57.15299987792969,59.09000015258789,69.83246065990173,80.2444291505255,74.8253176661932,66.08049209000228,70.99969203432656,7.19,100.0,-1.45
PI,2021-03-22,59.84000015258789,60.78499984741211,57.7599983215332,60.45000076293945,69.55572156676004,80.32250625369497,74.75776432594215,66.10976793831436,70.98852999527845,7.27,98.0,-1.46
PI,2021-03-23,60.38999938964844,60.38999938964844,56.060001373291016,56.20000076293945,71.64323733848225,81.76314095371735,75.74978153991891,66.73279324152344,71.27575546183678,7.35,100.0,-1.45
PI,2021-03-24,57.15999984741211,57.650001525878906,54.220001220703125,54.439998626708984,72.0632629214423,81.56574156756476,75.41095653710488,66.84162872133929,70.78311403087287,7.43,99.0,-1.45
PI,2021-03-25,53.04999923706055,55.790000915527344,51.810001373291016,55.2599983215332,72.30324067289641,81.2651499868679,75.3854077172959,66.82814559067997,70.78188195713957,7.48,98.0,-1.45
PI,2021-03-26,56.08000183105469,56.61000061035156,53.599998474121094,55.810001373291016,66.64868906551486,80.66167764183463,74.0912782099521,66.24510433011727,70.74384206065226,7.52,89.0,-1.45
PI,2021-03-29,55.650001525878906,55.650001525878906,52.25,52.630001068115234,68.27906765477574,81.10814955249114,74.68324063051138,66.65091812483587,70.50691484314866,7.55,94.0,-1.45
PI,2021-03-30,52.5,55.09000015258789,51.15999984741211,54.41999816894531,68.50056573597915,81.33394510702804,74.03307813067839,66.33227224489524,70.20173383685105,7.57,87.0,-1.45
PI,2021-03-31,55.150001525878906,57.33000183105469,55.11000061035156,56.869998931884766,70.01902538605377,81.63746694729303,74.18335949517552,66.49527200823395,70.31183067454973,7.58,88.0,-1.44
PI,2021-04-01,58.13999938964844,60.709999084472656,58.13999938964844,58.959999084472656,70.21150911181938,81.29506966429543,74.17685847086688,66.51728582741133,69.33708232774191,7.58,87.0,-1.43
PI,2021-04-05,60.56999969482422,60.56999969482422,57.900001525878906,58.0099983215332,68.22682367161276,81.14519715646156,74.21739839121771,66.4953609976915,69.19418605298043,7.58,91.0,-1.42
PI,2021-04-06,57.5,58.6349983215332,55.81999969482422,56.52000045776367,66.8256783668527,81.36346989091511,74.18191178005948,66.48961063527807,69.16760965600696,7.57,86.0,-1.4
PI,2021-04-07,56.099998474121094,56.77000045776367,53.689998626708984,54.189998626708984,67.41717489688081,81.2829111551406,74.56268003090035,66.45544867439273,68.17899756947824,7.56,93.0,-1.38
PI,2021-04-08,54.689998626708984,56.220001220703125,53.79999923706055,55.91999816894531,68.06260560709613,64.61567434584273,73.21768594377868,66.51560947408872,68.22474505749591,7.56,78.0,-1.36
PI,2021-04-09,55.15999984741211,55.95000076293945,53.150001525878906,55.470001220703125,64.1750357485154,64.6055619138162,72.91499242442966,66.51239095333457,68.21166052988117,7.56,75.0,-1.33
PI,2021-04-12,55.5,55.5,53.029998779296875,54.54999923706055,63.67827671841504,64.6068884065549,72.9070257792922,66.47249978341358,67.76844789306944,7.55,74.0,-1.3
PI,2021-04-13,54.79999923706055,55.42100143432617,53.16999816894531,54.86000061035156,62.82842296881047,63.975579273699665,72.86768880778375,66.4638662954559,67.66455442134635,7.54,73.0,-1.27
PI,2021-04-14,55.0,57.11000061035156,54.43199920654297,54.95000076293945,61.84275018940673,63.56979883145857,72.79849386073597,66.45904152838533,67.6619975503429,7.51,72.0,-1.22
PI,2021-04-15,55.689998626708984,57.220001220703125,54.43000030517578,56.630001068115234,60.18647403560667,63.58603876899942,72.90057842870753,65.78016177011826,67.23039166861689,7.48,73.0,-1.18
PI,2021-04-16,57.0,57.88999938964844,56.099998474121094,56.619998931884766,54.92159064554423,63.12149236290367,72.81735125871309,65.41879520918832,67.19936863627382,7.44,71.0,-1.12
PI,2021-04-19,56.29999923706055,57.0,52.47999954223633,53.20000076293945,57.79401609761874,64.111985677061,73.57491326530972,63.346035970438265,67.27321420109446,7.4,81.0,-1.06
PI,2021-04-20,52.540000915527344,52.970001220703125,50.22999954223633,51.77000045776367,56.852897065137654,64.18113372154833,73.74196085123825,63.35568404307478,67.28579701124427,7.36,81.0,-1.0
PI,2021-04-21,51.209999084472656,54.04999923706055,50.869998931884766,53.72999954223633,56.70195959063287,64.66381377968821,73.92164150230626,63.469461233592085,67.18037759011762,7.32,81.0,-0.93
PI,2021-04-22,54.06999969482422,55.689998626708984,53.0,53.540000915527344,56.20585236302137,63.41993567853338,73.85972063661124,63.2804427506479,67.12878457351714,7.27,80.0,-0.85
PI,2021-04-23,53.869998931884766,55.91999816894531,53.869998931884766,55.380001068115234,52.58865562746341,63.71500881007447,74.0079264103337,63.3320369378067,67.15555271017045,7.22,81.0,-0.76
PI,2021-04-26,55.540000915527344,57.369998931884766,54.483001708984375,57.02000045776367,53.249610892882906,64.00319866667768,69.58960417389982,63.37469675050353,67.13533430949211,7.19,55.0,-0.69
PI,2021-04-27,57.61000061035156,58.380001068115234,56.2400016784668,56.810001373291016,52.84359647771478,62.18636690635682,69.55182460729228,63.381712564835404,67.12554655614268,7.16,54.0,-0.62
PI,2021-04-28,56.220001220703125,58.22999954223633,55.70000076293945,58.099998474121094,53.2096184686934,61.32464010529649,69.21882104611255,63.413462785200316,66.04920596247533,7.13,53.0,-0.54
PI,2021-04-29,53.04999923706055,55.25,45.25,46.810001373291016,81.09166313490752,75.02180389550675,77.45828080113674,68.56647828422811,69.42770671980865,7.16,100.0,-0.47
PI,2021-04-30,46.0,47.459999084472656,44.40999984741211,47.459999084472656,80.03045164956514,75.10727878230462,77.45367216712904,68.54459199052131,68.92962810406829,7.18,99.0,-0.4
PI,2021-05-03,48.380001068115234,51.59000015258789,47.52000045776367,51.34000015258789,83.83273066696079,76.558430069286,78.36628731806368,68.69555324533702,69.221308484223,7.22,100.0,-0.32
PI,2021-05-04,50.880001068115234,50.880001068115234,48.540000915527344,50.22999954223633,83.56044847827465,76.33416551053074,78.43158040178791,68.75086301576349,69.26601198276492,7.24,100.0,-0.24
PI,2021-05-05,50.380001068115234,51.96699905395508,49.43000030517578,50.9900016784668,81.31470604508752,75.98807798085508,78.00254637511108,68.71508436209527,69.21029411072922,7.26,98.0,-0.16
PI,2021-05-06,50.650001525878906,51.16999816894531,48.130001068115234,48.959999084472656,81.62316854481566,76.35109862639251,78.19768403403123,68.84472347799979,69.34288476725615,7.28,98.0,-0.07
