Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Close 1d (%)_Color,Close 1w (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,OI 1d (%)_Color,OI 1w (%)_Color
DNMR,0.35,0.35,0.35,0.35,287,,,0.0,369.29,,,,,"21,238",,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
HCAT,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
WK,82.24,81.22,81.21,82.66,244,0.0,4.67,60.99,46.73,-24.51,2.64,0.0,-22.04,"2,838",-0.53,5.19,1.2543,#FFFFFF,#10B981,#F87171,#10B981,#FFFFFF,#F87171,#F87171,#10B981
HAE,54.54,54.29,54.02,55.12,"1,533",0.0,-1.25,58.57,69.7,78.45,74.34,0.0,-55.71,"16,616",-0.69,15.81,1.0975,#FFFFFF,#F87171,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#10B981
FARO,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
AFRM,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
DAY,69.77,69.65,69.48,69.82,"2,373",0.0,0.4,55.3,124.17,316.79,636.98,-0.79,-12.76,"33,440",0.14,1.29,0.4795,#FFFFFF,#10B981,#10B981,#10B981,#F87171,#F87171,#10B981,#10B981
PCRX,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
CMPO,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
TGT,95.98,97.1,95.67,97.22,"53,809",0.0,,38.14,41.66,6.7,,-20.21,,"653,091",-7.29,,0.8267,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
PRO,15.5,15.41,15.23,15.58,"2,997",0.0,,51.74,53.07,6.17,,5.27,,"5,699",3.94,,,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
ATI,77.54,78.54,76.59,78.96,"4,540",0.0,,55.13,45.48,22.01,,0.46,,"28,606",0.86,,0.9787,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
BSY,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
VRM,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
XERS,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
BHR,2.76,2.69,2.63,2.86,285,0.0,,65.05,92.48,137.56,,9.62,,"3,511",9.27,,0.7878,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
CFLT,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
FVRR,23.55,23.6,23.53,24.0,"1,464",0.0,,43.97,45.25,-2.15,,0.0,,"27,471",0.07,,0.9737,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
KPTI,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
ASND,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
GKOS,95.82,96.09,94.99,97.0,"1,072",0.0,4.66,46.85,60.99,14.68,31.01,0.0,-31.37,"5,285",-1.12,52.57,0.8665,#FFFFFF,#10B981,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#10B981
QD,4.56,4.62,4.52,4.62,567,0.0,,52.17,69.11,3.42,,0.0,,"29,168",0.0,,0.943,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
KHC,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
NIO,6.38,6.44,6.26,6.51,"299,828",0.0,,64.26,96.16,2.78,,-10.89,,"4,249,636",-4.29,,0.8775,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
NKE,77.37,77.75,77.12,79.13,"183,231",0.0,,43.97,35.58,6.95,,-4.59,,"1,429,435",-1.81,,0.9163,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
BXMT,19.56,19.4,19.38,19.57,"1,531",0.0,1.24,25.3,31.66,10.85,29.61,-0.13,-7.04,"74,940",0.58,2.3,0.8107,#FFFFFF,#10B981,#10B981,#10B981,#F87171,#F87171,#10B981,#10B981
GPRE,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
MGNI,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
MGPI,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
NSIT,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
BABA,135.0,128.88,128.51,136.65,"768,612",0.0,8.56,44.09,48.01,18.3,-14.79,-36.83,322.76,"1,299,035",-11.89,4.83,0.8938,#FFFFFF,#10B981,#10B981,#F87171,#F87171,#10B981,#F87171,#10B981
DIS,118.38,117.39,117.25,118.65,"34,375",0.0,,33.1,29.73,16.88,,-24.39,,"816,977",-4.27,,0.9369,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
EZPW,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
FSLY,7.61,7.7,7.53,7.72,"2,792",0.0,,68.62,63.19,8.06,,-15.14,,"105,230",-0.95,,1.0517,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
GVA,107.75,109.55,107.25,109.55,824,0.0,-1.72,26.56,43.19,43.1,44.59,-0.12,30.17,"2,832",18.94,64.08,1.3053,#FFFFFF,#F87171,#10B981,#10B981,#F87171,#10B981,#10B981,#10B981
VATE,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
CMRC,4.65,4.65,4.62,4.72,961,0.0,,47.12,75.7,16.0,,0.0,,"10,300",15.12,,0.9293,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
VTR,68.08,67.58,67.46,68.14,"2,582",0.0,,19.41,14.45,-49.14,,0.47,,"11,651",0.14,,0.8097,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
POST,113.15,112.1,111.1,113.55,442,0.0,0.74,20.58,25.95,12.13,21.39,6.0,13.62,"2,577",0.27,-0.27,0.8698,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#F87171
V,351.78,350.46,349.0,352.63,"26,601",0.0,,24.07,31.16,8.16,,-9.67,,"352,534",-6.03,,0.939,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
AMZN,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
COLL,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
RNG,30.51,30.81,30.33,31.42,"2,287",0.0,-2.31,58.07,55.28,8.13,14.39,-4.35,-11.22,"24,526",-1.3,1.1,1.1275,#FFFFFF,#F87171,#10B981,#10B981,#F87171,#F87171,#F87171,#10B981
SPR,41.59,41.64,41.44,42.08,"3,993",0.0,3.61,25.14,39.93,-3.59,1.1,0.3,8.74,"41,032",0.84,1.46,1.2118,#FFFFFF,#10B981,#F87171,#10B981,#10B981,#10B981,#10B981,#10B981
KOS,1.79,1.83,1.78,1.86,"1,591",0.0,,82.88,104.7,7.1,,0.0,,"181,948",0.05,,0.9759,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
GPN,88.82,88.51,88.37,89.22,"5,599",0.0,,52.29,40.26,12.94,,0.0,,"110,278",0.42,,0.9133,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
AAL,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
WDC,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
OPK,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
HASI,28.24,28.05,27.81,28.24,"3,048",0.0,-0.46,39.5,37.38,-27.14,-18.84,0.0,-3.21,"31,321",0.02,0.19,0.8648,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#F87171,#10B981,#10B981
TEVA,18.38,18.01,17.94,18.46,"28,542",0.0,,44.0,52.59,34.89,,-6.55,,"736,195",-1.14,,1.028,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
NVMI,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
GWRE,217.02,218.15,215.0,218.6,694,0.0,,35.38,51.77,-20.56,,-1.56,,"4,796",2.43,,0.8665,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF
NVCR,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
MMM,155.53,157.6,155.32,158.24,"17,904",0.0,,31.35,41.49,54.46,,-7.07,,"158,186",-2.17,,0.8542,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
ALRM,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
RPAY,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
PEGA,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
AMPH,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
XMTR,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
MTSI,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
UNIT,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
PMT,12.31,12.17,12.14,12.35,662,0.0,,27.97,33.48,-15.69,,0.0,,"67,663",0.06,,0.7583,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
PLUG,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
RKLB,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
LUV,32.9,33.02,32.63,33.07,"6,283",0.0,,47.9,42.08,0.12,,-16.87,,"351,977",-0.85,,0.9562,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
UPWK,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
HOUS,6.11,6.29,6.05,6.34,"1,369",0.0,,65.81,60.47,10.67,,0.07,,"58,346",3.2,,0.9601,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
HCI,166.71,164.82,162.12,166.99,"1,240",0.0,,31.23,76.0,36.54,,0.57,,"6,639",1.0,,0.8409,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
RDFN,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
FIVN,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
MITK,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
TWO,10.0,9.9,9.86,10.01,"1,002",0.0,,31.47,68.45,127.61,,0.0,,"20,724",0.08,,1.5332,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
WKC,26.81,26.82,26.54,26.97,43,0.0,,27.55,33.68,-7.71,,4.88,,431,1.65,,,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
IONS,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
MP,71.14,73.85,71.07,73.87,"31,404",0.0,,108.55,74.66,7.28,,-28.94,,"547,707",3.4,,0.933,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF
SNAP,7.14,7.12,7.09,7.33,"141,878",0.0,,69.25,61.49,3.95,,-13.63,,"1,825,183",-4.96,,0.9472,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
SATS,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
LNT,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
BBAI,5.07,5.15,4.95,5.18,"35,265",0.0,-4.34,113.27,142.5,30.94,-12.21,-18.59,-41.32,"925,774",-7.14,-2.83,1.0031,#FFFFFF,#F87171,#10B981,#F87171,#F87171,#F87171,#F87171,#F87171
LITE,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
CYBR,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
OKTA,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
GH,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
TYL,562.88,557.32,556.89,562.88,433,0.0,,28.32,26.92,-7.9,,-0.23,,"1,769",1.84,,0.8709,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF
VRNS,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
BOX,32.63,32.71,32.45,32.93,"2,833",0.0,3.85,33.53,48.54,79.61,25.86,3.39,-52.06,"60,293",2.93,33.69,0.9503,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#F87171,#10B981,#10B981
PSEC,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
PCT,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
SRPT,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
GMED,61.27,61.34,61.05,61.61,"1,286",0.0,,55.25,32.87,-0.51,,-7.22,,"10,189",0.48,,1.0011,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF
BILL,46.42,49.28,46.18,49.84,"23,108",0.0,13.05,53.98,66.49,13.8,-35.43,-2.9,66.51,"159,281",-15.56,9.12,0.9685,#FFFFFF,#10B981,#10B981,#F87171,#F87171,#10B981,#F87171,#10B981
PEB,11.14,11.24,11.1,11.34,83,0.0,,51.93,64.42,-10.21,,18.57,,637,-32.66,,1.2645,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
IIIV,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
APLS,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
GPRO,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
ABR,11.94,11.75,11.74,11.94,"13,630",0.0,1.53,39.49,40.48,-9.46,0.3,-0.36,-15.46,"221,786",-2.61,0.18,0.6876,#FFFFFF,#10B981,#F87171,#10B981,#F87171,#F87171,#F87171,#10B981
CNK,25.8,25.42,25.28,25.81,"12,734",0.0,-1.38,29.71,36.8,1.95,0.89,-0.45,62.32,"107,410",4.77,7.58,0.9262,#FFFFFF,#F87171,#10B981,#10B981,#F87171,#10B981,#10B981,#10B981
BTU,17.4,16.81,16.76,17.43,"15,547",0.0,3.57,61.16,75.91,0.59,-32.79,-5.62,7.38,"262,877",-3.7,-0.38,0.8266,#FFFFFF,#10B981,#10B981,#F87171,#F87171,#10B981,#F87171,#F87171
MAXN,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
NMFC,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
ARRY,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
MIDD,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
INSG,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
MRK,84.12,83.42,83.28,84.24,"21,939",0.0,,30.47,30.7,-2.36,,-18.8,,"671,391",-3.24,,0.7961,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
MLAB,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
VECO,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
XYZ,79.64,80.8,79.14,82.25,"54,749",0.0,,59.28,45.65,-21.09,,-36.75,,"646,879",-9.92,,0.9634,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
VREX,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
