Pair,Price,Day,Weekly,Monthly,YTD,YoY,Date
USDBSD,0.99980,0.00020,-0.02%,-0.02%,-0.02%,-0.02%,-0.05%
USDSRD,39.0219,0.3155,-0.80%,0.58%,3.40%,10.09%,30.95%
USDGYD,208.700,0.600,-0.29%,-0.24%,-0.24%,-0.24%,-0.14%
USDKYD,0.83125,0.00000,0.00%,0.00%,0.00%,0.00%,0.15%
USDVES,160.24740,0.00010,0.00%,1.72%,17.21%,208.78%,336.25%
USDIDR,16425.9,14.9,0.09%,-0.13%,1.28%,0.98%,7.21%
USDSAR,3.75110,0.00010,0.00%,-0.02%,-0.03%,-0.14%,-0.05%
USDTWD,30.1020,0.0330,0.11%,-0.63%,0.18%,-8.24%,-5.32%
USDIRR,42112.5,62.5,0.15%,0.15%,0.26%,0.27%,0.27%
USDAED,3.67250,0.00050,-0.01%,-0.01%,-0.01%,-0.02%,-0.01%
USDTHB,31.7990,0.139,0.44%,0.09%,-2.25%,-7.37%,-4.77%
USDMYR,4.18850,0.01650,-0.39%,-0.63%,-0.81%,-6.33%,-1.31%
USDPHP,56.8390,0.0070,-0.01%,-0.41%,-0.36%,-2.15%,1.82%
USDIQD,1309.79,0.26,-0.02%,-0.02%,-0.02%,0.06%,-0.02%
USDKZT,540.970,0.500,0.09%,0.51%,0.38%,3.12%,12.94%
USDQAR,3.64080,0.00450,-0.12%,-0.12%,-0.10%,-0.10%,-0.12%
USDVND,26375.0,7.5,-0.03%,-0.08%,0.29%,3.51%,7.22%
USDBDT,121.7500,0.0000,0.00%,0.02%,0.21%,2.31%,1.86%
USDOMR,0.38500,0.00020,0.06%,0.06%,0.06%,0.00%,0.00%
USDAZN,1.71060,0.01060,0.62%,0.62%,0.62%,0.92%,0.62%
USDLKR,301.740,0.330,-0.11%,-0.07%,0.26%,2.92%,-0.56%
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%
USDUZS,12283.7,1.4,-0.01%,-0.62%,-1.71%,-4.78%,-3.62%
USDMOP,8.01500,0.00500,-0.06%,-0.15%,-0.53%,0.14%,-0.18%
USDTMT,3.51000,0.01050,0.30%,0.30%,0.30%,0.44%,0.00%
USDLBP,89550.00,0.00,0.00%,0.00%,-0.24%,0.06%,0.00%
USDYER,239.550,0.000,0.00%,-0.01%,-0.24%,-3.82%,-4.17%
USDBHD,0.37700,0.00000,-0.01%,-0.01%,0.00%,-0.03%,0.05%
USDAFN,68.0000,0.8000,1.19%,-0.23%,-0.99%,-3.34%,-1.85%
USDNPR,140.445,0.445,-0.32%,-0.37%,0.48%,2.53%,4.80%
USDBND,1.27760,0.00200,0.16%,-0.41%,-0.54%,-6.42%,-1.27%
USDKHR,4008.00,3.00,0.07%,0.07%,0.00%,-0.22%,-1.01%
USDGEL,2.72150,0.01300,0.48%,1.06%,0.83%,-3.32%,0.24%
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%
USDMNT,3597.00,6.00,-0.17%,0.00%,0.03%,5.18%,6.36%
USDLAK,21650.0,0.0,0.00%,-0.15%,-0.03%,-0.24%,-2.08%
USDAMD,382.940,0.940,0.25%,0.12%,-0.09%,-3.19%,-1.07%
USDTJS,9.4240,0.0140,0.15%,-0.54%,1.06%,-13.14%,-11.54%
USDKGS,87.4500,0.0014,0.00%,0.00%,0.08%,0.52%,3.66%
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%
USDKWD,0.30510,0.00020,0.06%,-0.15%,-0.20%,-1.04%,0.07%
USDJOD,0.70900,0.00000,0.00%,0.00%,0.00%,-0.06%,0.04%
USDPGK,4.17990,0.00010,0.00%,0.04%,0.46%,2.90%,6.42%
USDXPF,100.739,0.039,0.04%,-1.42%,-1.70%,-12.33%,-5.19%
USDFJD,2.23630,0.00550,0.25%,-0.37%,-1.00%,-4.02%,1.32%
USDNGN,1495.600,2.030,-0.14%,-0.58%,-2.58%,-3.14%,-8.77%
USDZMW,23.4200,0.0950,0.41%,-2.52%,0.47%,-16.37%,-11.56%
USDEGP,48.1400,0.0600,0.12%,0.08%,-0.50%,-5.22%,-0.70%
USDDZD,129.148,0.047,-0.04%,-0.57%,-0.53%,-4.57%,-2.47%
USDAOA,918.655,1.655,0.18%,0.00%,0.00%,-0.43%,-1.83%
USDMAD,8.98500,0.02510,0.28%,-0.43%,-0.38%,-11.19%,-7.91%
USDSDG,601.500,1.379,0.23%,0.20%,0.18%,0.45%,0.44%
USDKES,129.200,0.050,0.04%,0.00%,0.00%,0.27%,0.16%
USDETB,144.8947,0.0159,-0.01%,0.91%,2.66%,13.56%,24.69%
USDTZS,2470.00,5.00,-0.20%,0.20%,-5.00%,1.86%,-9.34%
USDTND,2.89410,0.01480,0.51%,-0.46%,0.41%,-9.24%,-4.52%
USDLYD,5.41500,0.00870,0.16%,0.15%,0.02%,10.43%,13.88%
USDGHS,12.26000,0.01000,0.08%,0.49%,14.05%,-16.60%,-21.76%
USDCDF,2875.00,5.00,-0.17%,-1.20%,-1.29%,0.65%,1.23%
USDUGX,3499.60,4.67,-0.13%,-0.28%,-1.61%,-4.71%,-5.95%
USDMZN,63.6100,0.3000,-0.47%,-0.47%,-0.47%,-0.46%,-0.46%
USDBWP,14.2053,0.0600,0.42%,6.35%,0.19%,1.71%,7.82%
USDXAF,554.132,10.313,-1.83%,-3.03%,-2.99%,-13.45%,-6.01%
USDNAD,17.3896,0.0453,0.26%,-0.54%,-1.38%,-7.66%,-1.14%
USDSSP,4552.056,0.000,0.00%,0.26%,0.43%,17.23%,44.77%
USDMUR,45.0600,0.2000,-0.44%,-0.97%,-0.92%,-3.72%,-1.72%
USDMGA,4392.80,11.09,0.25%,-1.22%,-0.25%,-6.38%,-3.67%
USDRWF,1449.37,1.37,0.09%,-0.03%,0.08%,5.85%,8.16%
USDGNF,8696.00,23.00,0.27%,0.29%,0.29%,1.09%,0.53%
USDMRO,40.0000,0.0600,0.15%,0.20%,-0.07%,0.58%,1.22%
USDSLL,23229.2,102.7,0.44%,0.44%,-0.30%,1.54%,2.90%
USDXOF,554.088,1.412,-0.25%,-1.14%,-1.14%,-11.59%,-6.01%
USDMWK,1733.670,0.000,0.00%,0.00%,0.00%,0.00%,-0.11%
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%
USDSZL,17.3811,0.0394,0.23%,-0.59%,-1.41%,-7.64%,-1.19%
USDBIF,2984.58,0.05,0.00%,0.02%,0.07%,0.92%,3.17%
USDLSL,17.3896,0.0531,0.31%,-0.54%,-1.38%,-7.66%,-1.14%
USDLRD,177.000,1.000,-0.56%,-6.84%,-11.72%,-4.07%,-11.50%
USDCVE,93.4845,0.0159,0.02%,-1.06%,-1.44%,-12.37%,-6.12%
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,0.20%
USDSCR,14.2453,0.5100,-3.46%,0.13%,-3.85%,-0.04%,5.77%
USDSOS,570.430,0.070,-0.01%,-0.19%,-0.19%,0.43%,0.43%
USDGMD,73.2500,0.1250,-0.17%,-0.10%,0.58%,1.52%,4.27%
USDKMF,415.000,1.000,-0.24%,-1.47%,-1.75%,-12.44%,-6.21%
USDSTD,20.9393,0.0911,0.44%,-1.06%,-1.35%,-12.41%,-6.94%
USDZIG,26.677,0.039,-0.15%,-0.10%,-0.34%,3.41%,91.09%
