Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Call Local Vol,Put Local Vol,Realised Vol 100d
PR,PR251121P00011000,Put,2025-11-21,11.0,0.7692512991741048,0.1,0.25,2,722,14.0,14.28,14.149999618530272,0.508793974609375,2025-11-21,0.2245037645448323,14.299618358538991,-0.26233757589729784,0.41199597790671466,0.5395935064991483,0.48150064862788733,0.12759752859243362,-0.10312398214640406,0.9431854249034101,,,0.510504759631116
PR,PR251121C00017000,Call,2025-11-21,17.0,1.1888429169054349,0.1,0.25,1,724,14.0,14.28,14.149999618530272,0.3828186718749999,2025-11-21,0.2245037645448323,14.299618358538991,0.17298049536054783,0.28614367340562513,0.38083810725607703,0.3374869668482012,0.0946944338504519,0.15822015373424408,0.6610848586251474,,,0.510504759631116
PR,PR250919P00016000,Put,2025-09-19,16.0,1.1286024569317796,1.7,2.25,4,8,14.0,14.28,14.149999618530272,0.7041045214843751,2025-09-19,0.05201916495550993,14.176825419552625,0.12098010352357898,,0.8144138721096,0.5368323101774019,,-0.8230013863262624,1.0515716064338163,,,0.510504759631116
PR,PR270115P00015000,Put,2027-01-15,15.0,0.9903691623245585,1.45,3.1,4,524,14.0,14.28,14.149999618530272,0.3908752319335937,2027-01-15,1.374401095140315,15.145867390289641,-0.009677514123232523,0.2312228598228526,0.48787057501104003,0.35854489638554143,0.2566477151881874,-0.4078058180223991,0.7023340911544512,,,0.510504759631116
PR,PR260116C00020000,Call,2026-01-16,20.0,1.3879577784729797,0.05,0.15,2,6650,14.0,14.28,14.149999618530272,0.393560751953125,2026-01-16,0.37782340862423,14.409660229004835,0.3278334426543527,0.3044201890831245,0.38592529042445756,0.35075659198274195,0.08150510134133304,0.07886350553240895,0.6870780053768628,,,0.510504759631116
PR,PR250919P00015000,Put,2025-09-19,15.0,1.0580648033735434,0.95,1.2,1,8,14.0,14.28,14.149999618530272,0.465825654296875,2025-09-19,0.05201916495550993,14.176825419552625,0.056441582386007765,0.31518945948377514,0.5411610098152405,0.4333837153951172,0.22597155033146538,-0.6990217777845114,0.8489317821606102,,,0.510504759631116
PR,PR260320P00012000,Put,2026-03-20,12.0,0.8256235077786482,0.55,0.85,5,60,14.0,14.28,14.149999618530272,0.4404352832031249,2026-03-20,0.5503080082135524,14.534469872697994,-0.19161641109110403,0.38583730897851787,0.48146863386279354,0.4345284158985077,0.09563132488427567,-0.2249392933665788,0.8511740737001008,,,0.510504759631116
PR,PR260116C00005000,Call,2026-01-16,5.0,0.34698944461824494,8.5,10.5,1,7,14.0,14.28,14.149999618530272,1.3476595117187498,2026-01-16,0.37782340862423,14.409660229004835,-1.0584609184655378,,2.236554734901768,1.2928427127109436,,0.9581203378085833,2.5324792537588383,,,0.510504759631116
PR,PR260116C00018000,Call,2026-01-16,18.0,1.2491620006256818,0.15,0.25,1,173,14.0,14.28,14.149999618530272,0.3544986425781249,2026-01-16,0.37782340862423,14.409660229004835,0.2224729269965265,0.2940768025792302,0.34357504674202133,0.320052891927497,0.04949824416279114,0.15091860667448664,0.6269341977511884,,,0.510504759631116
PR,PR260116P00011000,Put,2026-01-16,11.0,0.7633767781601388,0.2,0.35,200,278,14.0,14.28,14.149999618530272,0.4482477050781249,2026-01-16,0.37782340862423,14.409660229004835,-0.27000355810126775,0.3950007271013836,0.4781424652128326,0.43854122939062157,0.08314173811144898,-0.12788902146999215,0.8590345557355933,,,0.510504759631116
PR,PR260618P00012000,Put,2026-06-18,12.0,0.81551395926773,0.8,1.1,4,26,14.0,14.28,14.149999618530272,0.4282283740234375,2026-06-18,0.7967145790554415,14.714646958066904,-0.2039367396331986,0.40029803244332823,0.4773940545938023,0.4392428901945825,0.07709602215047406,-0.23693563240573634,0.860409000911125,,,0.510504759631116
PR,PR250919P00013000,Put,2025-09-19,13.0,0.9169894962570709,0.1,0.2,22,1074,14.0,14.28,14.149999618530272,0.43945873046875,2025-09-19,0.05201916495550993,14.176825419552625,-0.08665926125466554,0.38301881256058384,0.5011874084475397,0.44502777645200003,0.11816859588695589,-0.18285702790328584,0.8717406998782367,,,0.510504759631116
PR,PR251121P00012000,Put,2025-11-21,12.0,0.8391832354626598,0.2,0.35,20,341,14.0,14.28,14.149999618530272,0.437505625,2025-11-21,0.2245037645448323,14.299618358538991,-0.17532619890766804,0.377556622877307,0.4681510190365956,0.42469448796171605,0.0905943961592886,-0.16555132449298848,0.8319109272724405,,,0.510504759631116
PR,PR251017C00016000,Call,2025-10-17,16.0,1.1242848137867287,0.1,0.2,16,1264,14.0,14.28,14.149999618530272,0.35742830078125,2025-10-17,0.12867898699520877,14.231269340115023,0.11714711242159408,0.2886540933395518,0.36582964361651776,0.3295026129145748,0.07717555027696599,0.17566724935061295,0.6454447420875548,,,0.510504759631116
PR,PR251121C00016000,Call,2025-11-21,16.0,1.1189109806168798,0.25,0.45,15,535,14.0,14.28,14.149999618530272,0.39063109375,2025-11-21,0.2245037645448323,14.299618358538991,0.11235587354411287,0.29536177208004105,0.38611101063729397,0.3421956506776172,0.09074923855725292,0.2703043359922718,0.67030844320606,,,0.510504759631116
PR,PR250919P00012000,Put,2025-09-19,12.0,0.8464518426988348,0.05,0.1,15,1986,14.0,14.28,14.149999618530272,0.5351608984375,2025-09-19,0.05201916495550993,14.176825419552625,-0.16670196892820188,0.506435626135318,0.606948920250059,0.5605689099700957,0.10051329411474097,-0.085689898937934,1.0980679403952187,,,0.510504759631116
PR,PR260320C00014000,Call,2026-03-20,14.0,0.9632274257417562,1.4,1.8,5,19,14.0,14.28,14.149999618530272,0.4101621484375,2026-03-20,0.5503080082135524,14.534469872697994,-0.03746573126384575,0.2733693130743371,0.37270637015250935,0.3230785933048291,0.09933705707817225,0.6087864020145756,0.6328610795681541,,,0.510504759631116
PR,PR260116C00014000,Call,2026-01-16,14.0,0.9715704449310858,0.95,1.45,2,447,14.0,14.28,14.149999618530272,0.3916076464843749,2026-01-16,0.37782340862423,14.409660229004835,-0.028841501284379664,0.2141744529834546,0.3631518690403579,0.28885925268898405,0.1489774160569033,0.5991760059050216,0.5658306749141966,,,0.510504759631116
PR,PR260320P00015000,Put,2026-03-20,15.0,1.0320293847233102,1.8,2.4,10,83,14.0,14.28,14.149999618530272,0.4477594287109374,2026-03-20,0.5503080082135524,14.534469872697994,0.03152714022310563,0.36882409249476533,0.5125616629255718,0.440592326379344,0.14373757043080648,-0.4733058548242981,0.8630523380383568,,,0.510504759631116
PR,PR251017P00012000,Put,2025-10-17,12.0,0.8432136103400465,0.1,0.15,4,555,14.0,14.28,14.149999618530272,0.41211525390625,2025-10-17,0.12867898699520877,14.231269340115023,-0.17053496003018692,0.3924329108016357,0.4439932742774502,0.4192344398110111,0.0515603634758145,-0.1132994565975558,0.8212155359999864,,,0.510504759631116
PR,PR260417C00012000,Call,2026-04-17,12.0,0.8224649574344954,2.7,3.1,0,10,14.0,14.28,14.149999618530272,0.4404352832031249,2026-04-17,0.6269678302532512,14.590287271851007,-0.19544940219308915,0.2391375666602656,0.3779828025996711,0.3135590000109931,0.1388452359394055,0.8189453980622947,0.6142136661714315,,,0.510504759631116
PR,PR251017P00013000,Put,2025-10-17,13.0,0.913481411201717,0.25,0.35,23,508,14.0,14.28,14.149999618530272,0.39063109375,2025-10-17,0.12867898699520877,14.231269340115023,-0.09049225235665054,0.3608243595286358,0.4246111394796181,0.39324805094985693,0.06378677995098231,-0.23822485673067728,0.7703122126305204,,,0.510504759631116
