Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
BELEX 15,1223,0,0.00%,0.42%,0.32%,6.66%,10.40%,Sep/15
EU600,556.84,2,0.36%,0.86%,0.50%,9.68%,8.09%,09:18
EU100,1628,12,0.73%,2.13%,1.15%,12.00%,11.00%,Sep/15
EU350,2248.57,2.11,-0.09%,0.99%,0.94%,9.06%,7.41%,Sep/12
SASX-10,1477,2,0.11%,0.01%,1.42%,19.93%,31.33%,Sep/12
CSE General,291,1,-0.19%,0.53%,-0.51%,35.12%,58.07%,Sep/12
Tallinn,1980,5,-0.28%,-0.83%,-1.50%,14.63%,17.06%,09:18
Riga,912,5,-0.52%,-0.40%,-0.23%,5.21%,4.44%,09:18
ICEX,2126,3,0.12%,1.34%,-0.25%,-10.99%,6.91%,Sep/12
MBI 10,10431,33,-0.32%,0.25%,-0.08%,2.66%,21.19%,09:17
MSE,3805,8,0.22%,-0.24%,-1.30%,1.02%,0.25%,Sep/12
Monex,18431.67,72.49,0.39%,1.59%,6.03%,12.16%,21.25%,Sep/12
DE Mid,30412.33,237.17,0.79%,-0.14%,-1.87%,18.85%,19.68%,Sep/15
DE Small,16715.45,153.62,0.93%,-0.16%,-1.86%,21.91%,24.16%,Sep/15
Euro Stoxx Banks,234.98,2.18,0.93%,3.57%,0.39%,60.90%,65.14%,Sep/15
Ecuador General,1318,1,-0.07%,-0.36%,1.84%,11.78%,16.30%,Sep/11
Peru General,34938,101,0.29%,1.89%,5.80%,20.64%,21.64%,Aug/29
Merval,1759874,"45,308",-2.51%,-11.90%,-23.07%,-30.54%,-3.18%,Sep/12
IBC,1009,3,0.29%,1.68%,60.21%,745.58%,934.68%,Sep/12
COLCAP,1846,9,-0.48%,-0.93%,1.02%,33.78%,40.71%,Sep/12
IGPA,45229,702,-1.53%,-2.09%,3.29%,34.27%,41.55%,Sep/12
BVPSI,530,0,0.00%,1.69%,5.76%,13.78%,20.16%,Sep/12
BSX,2757,0,0.00%,0.00%,-7.30%,10.36%,7.21%,Sep/12
JSE,317960,"1,284",0.41%,-0.83%,1.92%,-5.31%,4.10%,Sep/12
US1000,3605.05,4.22,-0.12%,1.52%,1.90%,11.92%,17.47%,Sep/12
CSI 300,4533,11,0.24%,1.47%,6.93%,15.20%,42.95%,Sep/15
SHANGHAI 50,2963,6,-0.20%,0.77%,4.36%,10.35%,33.53%,Sep/15
CH50,15173.47,69.43,0.46%,2.35%,6.23%,12.29%,35.57%,Sep/15
DSE Broad,5493,25,0.46%,-2.39%,1.70%,5.31%,-3.31%,Sep/15
JCI,7928,74,0.94%,2.07%,0.83%,11.98%,1.23%,Sep/15
TASI,10417,17,-0.16%,-0.77%,-4.41%,-13.46%,-12.23%,09:18
Taiwan Stock Market Index,25357,117,-0.46%,3.30%,3.57%,10.08%,16.05%,Sep/15
ADX General,10016,2,0.02%,0.56%,-1.93%,6.34%,6.68%,Sep/15
SET 50,839,3,0.31%,2.34%,3.88%,-7.35%,-7.20%,09:17
FKLCI,1600,17,1.09%,0.92%,0.85%,-2.57%,-3.15%,Sep/12
TA-125,3160,28,0.90%,0.32%,3.42%,30.24%,56.74%,09:17
PSEi,6057,52,-0.85%,-0.73%,-3.68%,-7.22%,-14.73%,Sep/15
KSE 100,154975,535,0.35%,-0.71%,4.58%,34.62%,94.97%,09:18
KASE,7131,31,-0.44%,-0.38%,4.42%,27.93%,37.55%,09:18
QE,11125,7,-0.06%,0.00%,-4.00%,5.24%,6.47%,Sep/15
HNX,280.69,4.18,1.51%,3.36%,-1.12%,23.42%,21.60%,Sep/15
VN,1684,17,1.01%,3.67%,2.92%,32.94%,35.90%,Sep/15
MSM 30,5095,1,0.03%,0.33%,3.53%,11.33%,7.70%,Sep/15
ASPI,20388,225,-1.09%,-2.48%,-0.40%,27.87%,87.96%,Sep/15
Blom,1930,27,1.42%,2.68%,-2.53%,-23.34%,-5.83%,Sep/15
ASE,3046,21,0.70%,2.29%,2.95%,22.46%,26.90%,09:18
LSX Composite,1458,15,1.05%,1.80%,-2.33%,26.79%,43.84%,Sep/15
MSE 20,49085,100,0.21%,0.37%,0.41%,-4.31%,1.55%,Sep/15
DFM General,6039,8,0.14%,1.75%,-1.47%,17.07%,37.40%,Sep/15
Kuwait All Share,8784.83,68.20,0.78%,3.30%,1.03%,19.32%,22.76%,Sep/14
JPVIX,24.44,0.10,-0.41%,0.49%,-0.24%,12.16%,-15.20%,Sep/12
NIFTY 50,25094,20,-0.08%,1.28%,0.85%,6.11%,-1.16%,09:18
TEDPIX,2523000.00,0.00,0.00%,0.00%,-2.55%,-9.51%,20.82%,Sep/03
Estirad,1941.32,2.07,-0.11%,0.25%,0.34%,-2.25%,-0.18%,Sep/14
Australia All Ordinaries,9121,8,-0.08%,-0.07%,-1.22%,8.32%,9.35%,Sep/15
AU50,8553,17,-0.20%,0.04%,-1.78%,6.63%,6.61%,Sep/15
NSE-All Share,140546,112,-0.08%,0.83%,-3.65%,36.55%,44.21%,Sep/12
SA40,96798,239,-0.25%,1.48%,3.33%,28.41%,30.30%,09:18
EGX 30,35197,85,0.24%,1.77%,-2.11%,18.40%,16.37%,09:17
CFG 25,19829,45,-0.23%,-1.06%,-0.15%,34.22%,41.65%,Sep/12
Nairobi 20,3019,10,-0.34%,1.67%,14.80%,50.13%,76.08%,Sep/12
Nairobi All Share,179,0,-0.07%,0.23%,9.65%,44.71%,68.08%,Sep/12
DSEI,2525,0,0.00%,-1.32%,-4.16%,18.00%,20.64%,Sep/15
TUN,12120,47,0.39%,1.66%,2.59%,21.79%,24.12%,09:18
GGSECI,7197,73,-1.00%,1.31%,-2.27%,48.70%,66.23%,09:17
SEMDEX,2460,0,0.00%,0.75%,0.34%,2.36%,6.70%,Sep/15
USE All Share,1441.64,8.70,0.61%,0.42%,5.49%,20.66%,35.45%,Sep/11
NSX Overall,1909,1,0.07%,5.31%,6.33%,5.99%,6.78%,Sep/15
Gaborone,10612,4,-0.03%,0.42%,0.56%,5.60%,10.25%,Sep/12
ZSI Industrials,208.11,0.31,0.15%,-0.01%,2.35%,-4.26%,-18.87%,Sep/12
