Crypto,Price,Day,Weekly,Monthly,YTD,YoY,MarketCap,Date
Sui,3.54,0.15,-4.04%,1.08%,-6.24%,-14.19%,239.67%,"$12,377M"
Toncoin,3.14,0.04,-1.34%,1.30%,-9.31%,-43.03%,-42.82%,"$8,039M"
Tron,0.3461,0.0024,-0.68%,4.45%,-0.53%,35.86%,132.53%,"$32,743M"
Ethena USDe,1.00,0.00,0.02%,0.03%,0.01%,0.25%,0.23%,"$12,118M"
Hedera,0.23,0.01,-3.37%,2.79%,-7.80%,-13.43%,370.22%,"$9,846M"
BTCETH,25.4070,0.3771,1.51%,-1.12%,-1.97%,-9.31%,2.48%,Sep/15
BTCEUR,97801.3,"1,162.2",-1.17%,2.66%,-1.85%,8.57%,86.82%,Sep/15
BTCGBP,84532.8,"1,175.2",-1.37%,2.19%,-1.79%,13.41%,91.67%,Sep/15
BTCAUD,172446.4,"2,573.9",-1.47%,1.49%,-3.68%,14.39%,99.84%,Sep/15
BTCCAD,158796.5,"1,860.7",-1.16%,2.67%,-1.05%,18.37%,100.60%,Sep/15
BTCCNY,817982,"8,927",-1.08%,2.44%,-2.12%,19.47%,97.82%,Sep/15
BTCJPY,16921584,"218,870",-1.28%,2.42%,-1.61%,15.25%,106.29%,Sep/15
BTCNZD,192740.6,"2,691.3",-1.38%,2.20%,-1.81%,15.53%,104.95%,Sep/15
BTCCHF,91380.6,"1,041.1",-1.13%,2.81%,-2.66%,7.93%,85.70%,Sep/15
BTCMXN,2117142,"20,758",-0.97%,1.24%,-3.03%,8.82%,89.10%,Sep/15
BTCINR,10127187,"122,873",-1.20%,2.66%,-0.24%,26.82%,107.22%,Sep/15
BTCBRL,614478,"7,337",-1.18%,2.57%,-7.73%,6.48%,82.38%,Sep/15
BTCRUB,9530694,"222,714",-2.28%,3.08%,2.13%,-10.01%,78.98%,Sep/15
BTCKRW,159321597,"2,427,063",-1.50%,2.59%,-1.34%,15.50%,107.54%,Sep/15
BTCIDR,1884670101,"20,495,595",-1.08%,2.56%,-0.05%,24.16%,110.15%,Sep/15
BTCTRY,4748448,"50,984",-1.06%,2.74%,-0.06%,44.02%,139.49%,Sep/15
BTCSAR,430972,"4,651",-1.07%,2.46%,-1.22%,22.95%,97.14%,Sep/15
BTCSEK,1069916,"8,833",-0.82%,2.06%,-3.73%,3.64%,80.43%,Sep/15
BTCNGN,172594819,"1,840,238",-1.06%,2.19%,-3.30%,19.79%,80.74%,Sep/15
BTCPLN,415643,"4,775",-1.14%,2.70%,-1.79%,7.84%,85.75%,Sep/15
BTCARS,166981980,"1,920,709",-1.14%,4.67%,11.09%,73.58%,198.39%,Sep/15
BTCNOK,1130529,"12,070",-1.06%,1.15%,-4.71%,6.42%,83.26%,Sep/15
BTCTWD,3474866,"43,304",-1.23%,2.07%,-0.53%,13.52%,88.42%,Sep/15
BTCIRR,4853284850,"23,590,050",-0.48%,4.25%,-3.85%,23.84%,98.64%,Sep/14
ETHBTC,0.0393601,0.0007396,1.92%,1.14%,2.02%,10.27%,-2.42%,Sep/12
ETHEUR,3855.16,164.58,-4.09%,4.83%,-5.13%,19.90%,74.83%,Sep/15
ETHGBP,3332.65,148.67,-4.27%,4.48%,-4.87%,25.26%,79.07%,Sep/15
ETHAUD,6797.91,311.14,-4.38%,3.39%,-6.43%,26.33%,86.60%,Sep/15
ETHCAD,6259.08,266.56,-4.08%,5.15%,-4.37%,30.71%,88.66%,Sep/15
ETHCNY,32239.5,"1,348.3",-4.01%,5.07%,-5.67%,31.92%,85.99%,Sep/15
ETHJPY,667129,"29,089",-4.18%,5.13%,-4.72%,27.29%,93.98%,Sep/15
ETHNZD,7595.84,342.29,-4.31%,3.76%,-4.56%,27.55%,91.50%,Sep/15
ETHCHF,3602.27,151.75,-4.04%,4.80%,-5.95%,19.19%,73.73%,Sep/15
ETHMXN,83411.2,"3,426.9",-3.95%,3.69%,-5.94%,20.11%,77.90%,Sep/15
ETHINR,399131,"17,210",-4.13%,5.08%,-4.10%,40.03%,94.85%,Sep/15
ETHBRL,24987.6,937.5,3.90%,7.17%,-2.75%,21.31%,83.88%,Sep/12
ETHRUB,373214,"22,954",-5.79%,6.66%,-1.30%,-1.27%,69.80%,Sep/15
ETHKRW,6280528,"289,443",-4.41%,5.19%,-4.36%,27.56%,93.43%,Sep/15
ETHIDR,74282347,"3,102,424",-4.01%,5.31%,-3.15%,37.10%,97.37%,Sep/15
ETHTRY,187052.4,"7,892.8",-4.05%,5.41%,-3.55%,58.94%,125.90%,Sep/15
ETHSAR,16976.2,718.1,-4.06%,5.05%,-4.93%,35.69%,85.22%,Sep/15
ETHSEK,42158.9,"1,658.2",-3.78%,4.82%,-7.10%,14.41%,68.85%,Sep/15
ETHNGN,6800078,"285,194",-4.03%,3.22%,-6.82%,32.23%,69.88%,Sep/15
ETHPLN,16373.5,703.2,-4.12%,5.01%,-5.21%,19.01%,73.60%,Sep/15
ETHARS,6580666,"279,890",-4.08%,11.96%,5.24%,91.64%,180.94%,Sep/15
ETHNOK,44527.5,"1,883.1",-4.06%,3.72%,-8.12%,17.43%,71.10%,Sep/15
ETHTWD,136827.0,"6,075.5",-4.25%,4.19%,-4.07%,25.23%,75.36%,Sep/15
ETHIRR,187901764,"4,791,129",2.62%,3.99%,-2.54%,34.32%,89.18%,Sep/11
