Pair,Price,Day,Weekly,Monthly,YTD,YoY,Date
USDCOP,3892.56,5.94,-0.15%,-1.18%,-3.23%,-11.64%,-7.90%
USDPEN,3.48530,0.00100,-0.03%,-0.71%,-2.07%,-7.16%,-7.70%
USDCUC,24.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%
USDDOP,63.4030,0.0183,-0.03%,-0.23%,3.16%,4.13%,5.50%
USDGTQ,7.66550,0.00000,0.00%,0.02%,-0.06%,-0.51%,-0.95%
USDURY,40.0571,0.0128,-0.03%,0.23%,0.28%,-8.25%,-2.54%
USDCRC,503.710,0.000,0.00%,-0.24%,-0.32%,-0.58%,-2.93%
USDPAB,1.00040,0.00030,0.03%,0.04%,-0.16%,0.04%,-0.01%
USDBOB,6.91030,0.00220,-0.03%,-0.21%,0.15%,-0.36%,-0.40%
USDPYG,7146.45,2.19,-0.03%,-0.23%,-2.27%,-8.52%,-8.13%
USDSVC,8.75050,0.00260,-0.03%,-0.05%,0.16%,0.01%,-0.05%
USDTTD,6.79960,0.00210,-0.03%,0.20%,0.36%,0.50%,0.10%
USDHNL,26.2005,0.0000,0.00%,0.03%,0.04%,3.50%,5.01%
USDJMD,160.426,0.050,-0.03%,0.26%,0.41%,3.69%,1.99%
USDNIO,36.8022,0.0110,-0.03%,0.01%,0.17%,0.55%,0.09%
USDHTG,130.862,0.039,-0.03%,0.01%,0.16%,0.51%,-0.74%
USDBSD,1.00010,0.00030,-0.03%,0.01%,0.16%,0.01%,-0.03%
USDSRD,39.2220,0.4238,1.09%,1.38%,5.45%,10.66%,34.47%
USDGYD,209.200,0.100,-0.05%,0.00%,0.29%,0.00%,0.19%
USDKYD,0.83125,0.00000,0.00%,0.00%,0.00%,0.00%,0.15%
USDVES,158.73030,1.51700,-0.95%,2.55%,16.10%,205.86%,332.16%
USDIDR,16417.4,9.4,0.06%,0.16%,1.22%,0.92%,6.65%
USDSAR,3.75140,0.00040,-0.01%,-0.01%,-0.03%,-0.13%,-0.02%
USDTWD,30.2350,0.0648,-0.21%,-0.40%,0.66%,-7.80%,-4.45%
USDIRR,42050.0,0.0,0.00%,0.00%,0.11%,0.12%,0.12%
USDAED,3.67250,0.00050,-0.01%,0.00%,-0.01%,-0.02%,-0.01%
USDTHB,31.8900,0.17,0.54%,0.62%,-1.98%,-7.12%,-4.11%
USDMYR,4.20500,0.01700,-0.40%,-0.45%,-0.06%,-5.96%,-2.24%
USDPHP,57.2430,0.036,0.06%,0.95%,0.33%,-1.47%,2.73%
USDIQD,1310.14,0.09,0.01%,0.01%,0.01%,0.09%,0.01%
USDKZT,540.985,0.055,0.01%,1.25%,0.39%,3.12%,12.49%
USDQAR,3.65080,0.00420,-0.11%,0.03%,0.17%,0.17%,0.16%
USDVND,26380.0,5,-0.02%,-0.13%,0.31%,3.53%,7.54%
USDBDT,121.7250,0.0250,0.02%,0.02%,0.19%,2.29%,1.81%
USDOMR,0.38450,0.00027,-0.07%,-0.07%,-0.07%,-0.13%,-0.10%
USDAZN,1.70000,0.00000,0.00%,0.00%,0.00%,0.30%,0.00%
USDLKR,302.130,0.310,0.10%,0.37%,0.39%,3.05%,-0.01%
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%
USDUZS,12448.8,3.6,-0.03%,0.08%,-0.91%,-3.50%,-2.40%
USDMOP,8.01400,0.00400,-0.05%,-0.05%,-0.55%,0.12%,-0.24%
USDTMT,3.51000,0.01050,0.30%,0.30%,0.30%,0.44%,0.29%
USDLBP,89556.51,27.87,-0.03%,0.01%,0.16%,0.06%,-0.05%
USDYER,239.550,0.010,0.00%,-0.04%,-0.24%,-3.82%,-4.17%
USDBHD,0.37700,0.00004,-0.01%,0.00%,0.00%,-0.03%,0.05%
USDAFN,68.1679,0.0379,0.06%,-0.16%,-0.28%,-3.10%,-1.79%
USDNPR,141.145,0.043,-0.03%,-0.06%,1.02%,3.04%,5.26%
USDBND,1.28190,0.00090,-0.07%,-0.09%,-0.07%,-6.10%,-1.06%
USDKHR,4008.35,1.20,-0.03%,-0.02%,0.22%,-0.22%,-0.88%
USDGEL,2.70350,0.00200,0.07%,0.39%,0.32%,-3.96%,0.60%
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%
USDMNT,3598.00,0.00,0.00%,0.03%,0.03%,5.20%,6.45%
USDLAK,21684.7,6.8,-0.03%,-0.04%,0.34%,-0.08%,-1.90%
USDAMD,382.250,0.119,-0.03%,-0.07%,0.01%,-3.36%,-1.28%
USDTJS,9.4107,0.0029,-0.03%,-0.36%,1.07%,-13.27%,-11.60%
USDKGS,87.4500,0.0272,-0.03%,0.00%,0.08%,0.52%,3.28%
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%
USDKWD,0.30540,0.00000,-0.01%,0.02%,-0.10%,-0.94%,0.15%
USDJOD,0.70870,0.00030,-0.04%,-0.04%,-0.04%,-0.10%,0.00%
USDPGK,4.23850,0.00120,-0.03%,1.48%,2.03%,4.34%,6.90%
USDXPF,101.644,0.031,-0.03%,0.06%,-0.25%,-11.54%,-5.56%
USDFJD,2.23820,0.00160,-0.07%,-1.36%,-0.76%,-3.94%,0.22%
USDNGN,1502.680,0.380,0.03%,-0.26%,-2.11%,-2.68%,-8.32%
USDZMW,23.7300,0.0550,0.23%,-1.29%,1.80%,-15.27%,-10.25%
USDEGP,48.2100,0.0100,-0.02%,0.02%,-0.25%,-5.08%,-0.35%
USDDZD,129.736,0.020,0.02%,-0.10%,0.14%,-4.13%,-1.99%
USDAOA,918.650,0.000,0.00%,-0.57%,0.00%,-0.43%,-2.17%
USDMAD,9.02530,0.01330,0.15%,0.15%,0.06%,-10.79%,-7.47%
USDSDG,601.500,1.229,0.20%,0.19%,0.19%,0.45%,0.44%
USDKES,129.250,0.050,0.04%,0.08%,0.04%,0.31%,0.19%
USDETB,143.5924,0.0447,-0.03%,0.30%,2.11%,12.54%,23.90%
USDTZS,2470.70,9.73,0.40%,-1.17%,-5.28%,1.88%,-9.48%
USDTND,2.91120,0.00090,-0.03%,0.49%,-0.24%,-8.70%,-3.90%
USDLYD,5.40010,0.01110,-0.21%,-0.19%,-0.15%,10.13%,13.09%
USDGHS,12.20040,0.00040,0.00%,1.00%,13.49%,-17.01%,-22.24%
USDCDF,2885.00,17.50,-0.60%,-0.83%,-0.98%,1.00%,1.58%
USDUGX,3514.81,0.89,-0.03%,0.19%,-1.18%,-4.30%,-5.44%
USDMZN,63.8900,0.2700,0.42%,-0.03%,0.42%,-0.02%,-0.02%
USDBWP,13.3108,0.8461,-5.98%,-7.23%,-6.20%,-4.69%,0.63%
USDXAF,559.063,0.174,-0.03%,-1.88%,-0.25%,-12.68%,-5.26%
USDNAD,17.3505,0.0409,-0.24%,-0.79%,-1.60%,-7.86%,-2.11%
USDSSP,4552.056,0.000,0.00%,0.33%,0.43%,17.23%,49.33%
USDMUR,45.4900,0.0100,0.02%,-1.15%,-0.33%,-2.80%,-1.00%
USDMGA,4431.89,1.38,-0.03%,0.26%,-0.23%,-5.55%,-2.81%
USDRWF,1449.14,0.45,-0.03%,-0.03%,0.23%,5.83%,8.06%
USDGNF,8673.00,0.00,0.00%,0.02%,0.03%,0.83%,0.29%
USDMRO,39.7390,0.2710,-0.68%,-0.23%,-0.73%,-0.08%,-0.03%
USDSLL,23379.8,0.0,0.00%,1.10%,1.31%,2.20%,3.82%
USDXOF,559.063,0.174,-0.03%,-0.03%,-0.25%,-10.80%,-5.48%
USDMWK,1734.010,0.340,0.02%,0.02%,0.02%,0.02%,-0.09%
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%
USDSZL,17.3398,0.0054,-0.03%,-0.96%,-1.22%,-7.86%,-2.12%
USDBIF,2984.50,0.20,0.01%,0.03%,0.08%,0.92%,3.13%
USDLSL,17.3505,0.0409,-0.24%,-0.76%,-1.31%,-7.86%,-2.11%
USDLRD,178.000,0.100,0.06%,-11.22%,-11.22%,-3.52%,-11.00%
USDCVE,94.1859,0.2361,-0.25%,-0.03%,-0.70%,-11.71%,-5.39%
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,0.20%
USDSCR,15.1044,0.8394,5.88%,5.15%,1.04%,5.99%,11.68%
USDSOS,571.540,0.040,0.01%,0.01%,0.01%,0.62%,0.62%
USDGMD,73.3250,0.0000,0.00%,1.14%,0.69%,1.63%,4.38%
USDKMF,419.500,1.590,-0.38%,-0.05%,-0.69%,-11.49%,-5.25%
USDSTD,21.0784,0.0297,-0.14%,0.18%,-0.30%,-11.82%,-6.44%
USDZIG,26.733,0.004,0.02%,0.01%,-0.13%,3.62%,89.63%
