Rank,Ticker,Normalized 3m,Normalized 6m,Normalized 1y,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Realised Volatility 30d (%),Realised Volatility 60d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Weighted IV 1d (%),Weighted IV 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts,One_Yr_ATM_Rel_Error_Call (%),P90_Rel_Error_Call (%),One_Yr_ATM_Rel_Error_Put (%),P90_Rel_Error_Put (%)
11,AORT,75.7196481159072,61.151438895187304,62.50312599873212,39.869998931884766,39.95000076293945,40.33000183105469,39.56999969482422,0.0,-3.1105772698189504,0.0,-5.577878831838936,0.0,-4.7022634171070425,0.0,-3.499576480701149,72.79676688691833,54.749652756427295,49.81799792705303,0.503781525921699,1.2498294969687007,24.515859038401615,51.547167258533634,34.95152249091712,95.26184538653366,98.32289465720626,43.79819380465742,39.549639693367546,59.23333998180137,N/A,N/A,N/A,35.79405978172092,N/A,N/A,-13.343189016304915,-3.109201423525108,-9.415342054748344,106.0,0.0,0.0,505.0,0.0,0.1984126984126984,15.0,N/A,N/A,N/A,N/A
12,RUN,39.157762909009996,41.42049161401977,127.5927054164146,16.2450008392334,15.90999984741211,16.940000534057617,15.710000038146973,0.0,0.43277654080169725,0.0,-0.6246119927551728,0.0,-1.8539958898074096,0.0,-0.7893905885624969,133.20075123377762,116.54757179735904,157.6073185732402,0.503781525921294,0.17544502068576354,74.0371715548232,161.8446869769257,99.81388054352583,94.76309226932669,99.02389107026356,130.45189442665637,120.59443462442664,89.7688225047865,90.13087676377577,0.09652859852165976,0.9089865488931801,86.8673756184197,1.3272367362999506,-2.601725113825776,-22.155416693053205,-2.919352540120775,67.83849606845371,33665.0,2.6465835289813096,-26.181339765376606,1040221.0,0.14990410758435835,-2.0398688366504,366.0,0.175581825869793,13.54969929405941,0.6773184907240888,8.127964698781359
13,ZD,81.93430606123165,109.01980977429642,137.69551317621872,38.290000915527344,38.36000061035156,39.58000183105469,37.90499877929688,0.0,4.162139999603587,0.0,1.8317028801320185,0.0,4.570682765328099,0.0,3.5372798343498415,70.83054889806715,58.179460607759935,54.02583078498412,0.5037815259207957,1.1973717897392715,29.118848552331205,60.96461654586588,41.029227998745164,94.76309226932669,95.30066090848207,51.99177228064566,49.2592766007902,57.59161744198848,62.89750097974106,-17.320819676033537,-9.105311035234866,50.375492785485775,160.2878019360656,0.9883166636094164,-58.3907294514711,-28.27498610035214,-3.5657866570043595,445.0,-39.701897018970186,-51.098901098901095,4627.0,-6.2031218325562545,-5.12610211195407,35.0,N/A,44.81151469802367,N/A,N/A
14,DAY,82.69258393002681,85.51380919220988,86.50781630926025,69.08000183105469,68.41000366210938,69.2699966430664,68.41000366210938,0.0,0.0,0.0,-0.8837916699874394,0.0,0.20251612210430917,0.0,-0.6823368322438075,70.60786389976914,56.37951976033701,49.401019926429385,0.5037815259212222,-1.327656773238769,28.840294612645433,57.91461249555342,38.18282901857393,94.51371571072319,96.39530490687036,47.69530461079477,43.54872095832454,11.048661852484596,15.831741842255731,-18.233679820950343,-24.2281168786943,5.26914493231431,7.855534102350142,5.382898646286188,-71.04917209662734,-67.84137291166952,38.352358073944785,1288.0,-51.94029850746269,82.95454545454545,35216.0,3.878941624140881,4.387004979843491,48.0,N/A,N/A,N/A,N/A
15,SABR,142.93478623539596,190.21738785370093,176.08695384572724,1.870000004768372,1.840000033378601,1.914999961853028,1.8222999572753904,0.0,7.471264052822621,0.0,-2.127657550770317,0.0,1.861700356924063,0.0,4.729882028021295,135.33611303806947,100.8976066712734,88.94511736286306,0.5037815259210442,0.25810679986172974,50.54863777969467,104.23817826432769,71.21512636679265,93.51620947630923,90.85981133637569,86.88128735845622,81.20906803883557,95.52535458320583,96.18562157779587,1.9197715600741647,-7.7476088483487695,69.18801181455744,-12.56104373488689,N/A,-13.493471578427387,-4.149847081161516,-6.580237220342767,21502.0,-3.4399137776181066,47.14295490316841,254898.0,0.26945907565702776,7.1679931385038405,87.0,3.134173150357021,77.9889294069412,N/A,101.2539459340476
16,DDD,61.16071423819783,115.1785675322219,115.62499567600236,2.3299999237060547,2.240000009536743,2.380000114440918,2.220000028610229,0.0,8.878495770465754,0.0,-0.4444440205891927,0.0,0.8474669590729236,0.0,5.213276729068663,110.60021686880826,88.59008104337508,106.79638148287827,0.5037815259212303,0.2636866906432023,61.210357977333466,111.1977021063684,87.82981525373462,93.26683291770573,92.21055081634039,101.31231625939152,99.08194714767032,111.06874835689207,N/A,N/A,N/A,86.08286192788574,-2.055590378622251,-8.194698280214192,3.3511629339948086,10.484935176186495,-4.272366874013798,23235.0,831.2625250501002,952.3097826086957,88831.0,0.3479321758187138,0.8274500011350481,58.0,N/A,30.587556374130923,N/A,90.01409261334362
17,WK,80.3538543019043,107.17533359267712,94.95023879939446,79.69999694824219,81.38999938964844,82.23999786376953,79.36000061035156,0.0,4.019830450603257,0.0,3.760832300388823,0.0,4.63769525600091,0.0,4.668954009200555,42.713561879989086,69.14785610877493,57.95793388218736,0.5037815259212691,-0.6023738600522992,26.379587505684537,64.00821244415378,39.66041707119302,93.01745635910224,96.70350006931899,56.76924456675809,50.55548739136578,47.72938401786071,45.8054879744972,-4.02644290255547,-7.838683254797598,40.63925057763253,4.189120409280649,17.635280225781855,-25.823098348502942,-21.90171491441732,10.228549864326652,371.0,-6.54911838790932,22.442244224422442,2967.0,-0.2689075630252101,0.644504748982361,50.0,N/A,35.866189390186506,N/A,N/A
18,HAE,142.30230379454306,128.12812617109103,151.37137028124056,51.13999938964844,49.95000076293945,51.310001373291016,49.45000076293945,0.0,-4.979562096566702,0.0,-6.600596128481687,0.0,-4.981478938349971,0.0,-7.310211476525977,92.8158069431058,68.43424226436876,55.74989571879886,0.5037815259212046,-0.11373051404082057,25.214113995597014,59.07047489789142,35.3107488172768,93.01745635910224,99.43405916278591,50.58953183457611,46.60558743168476,45.14071152776762,43.57728375944226,-0.07897234499640808,8.999866219277916,43.973679601494844,14.507439690087667,26.30126688826714,-48.773188130282556,-23.972435867849384,10.60918419103124,2021.0,-66.37830643819665,-10.496014171833481,16338.0,-4.945310681871073,-2.9925187032418954,47.0,N/A,6.011316607191869,N/A,37.7681180411652
19,LNTH,155.763182934167,192.19118566328123,212.7065284521716,51.810001373291016,50.84000015258789,52.33000183105469,50.51499938964844,0.0,-2.0974996864336037,0.0,-7.546829240239831,0.0,-5.009980602447957,0.0,-3.116609165750427,107.1791294037077,80.37147350871324,76.82789164870908,0.5037815259210565,0.53735771479702,43.09056390448552,78.10396836811547,61.775800902967106,93.01745635910224,94.01150197910565,66.45146780969601,64.09416892513983,63.835354631891136,60.98997145991659,-1.8844648969334798,0.7930987825548951,53.32470923556942,-2.013001866432435,2.4751824141887586,-16.62388658025408,-4.732483139712305,12.992537016817948,2248.0,-14.100114635078334,-8.54353132628153,15260.0,-0.7802340702210664,3.7037037037037033,170.0,8.928919157037171,97.89021148527904,6.64469766566958,22.98687742308952
20,BLMN,138.98321803600305,111.66989943290537,232.12030701481567,6.75,6.699999809265137,7.079999923706055,6.679999828338623,0.0,-1.8895365156760908,0.0,-3.179194575191844,0.0,1.432663386236526,0.0,-2.4817529731493337,117.8813614701036,93.35935617471512,90.49446520040968,0.5037815259211529,0.03285650149564351,28.951185425281846,98.43966553662894,54.18578649154271,92.51870324189527,95.5885880056668,84.59223167987602,76.91508452180233,476.5051624492454,513.193724373011,0.7054141964561865,591.1622460338466,N/A,N/A,N/A,-2.868956524729805,540.2344637479703,-386.01069724883575,1117.0,-41.85320145757418,-21.558988764044944,30597.0,-1.5762215717180814,-5.5910395260575765,44.0,N/A,N/A,N/A,N/A
21,XRX,145.62870263396007,145.7843958096539,265.1418012334881,3.733299970626831,3.670000076293945,3.880000114440918,3.615000009536743,0.0,3.129836703026599,0.0,-0.8108100271120704,0.0,2.9177754395471034,0.0,0.13850732925811468,41.12355387431451,81.78735197604816,77.73652831011871,0.5037815259211231,0.6233544157827992,36.027436553009714,89.05182022493699,53.25725017625183,92.26932668329178,95.78589096197132,71.84214534732806,67.64831376123473,255.95502421000558,N/A,N/A,N/A,N/A,N/A,N/A,-6.414909222345893,171.68730717531056,-178.21849589988688,6875.0,231.48505303760848,165.34156696256272,218306.0,0.1408263340657526,0.5203153202932185,52.0,N/A,67.57137759259042,N/A,N/A
22,NEO,86.31319724208194,121.57829931052049,199.2601791802422,7.980000019073486,8.109999656677246,8.454999923706055,7.889999866485596,0.0,7.487777679722606,0.0,-2.7577996607023527,0.0,0.41567514364577685,0.0,6.275507457995026,80.26205509756097,81.18242074578653,98.69557344999728,0.5037815259213396,0.7072148884882175,40.891633593558005,107.12486539175259,67.04247355708397,92.26932668329178,93.92345828010966,93.99904145567857,82.41783194815254,68.56917387352559,73.96699492803809,-2.9889011842998756,-3.323939285963536,60.50585377506542,-0.9341260356589489,17.532323231697987,-14.617372821050054,-35.45819032525277,30.126399576471698,3339.0,-12.751502482362165,-10.26605751142166,28541.0,-0.6889592539754341,5.777926024757245,51.0,N/A,15.024062306436688,N/A,N/A
23,FLR,123.05403867596152,93.35646927357818,113.80763429289895,40.880001068115234,40.34000015258789,41.185001373291016,39.86000061035156,0.0,-0.8729403387476934,0.0,-2.348102610643531,0.0,-1.2586855015709675,0.0,-2.566607775548471,34.90423362873771,72.80320364030585,64.4600437850908,0.5037815259210299,-0.1162525325521537,27.358025672424553,71.26268913262712,43.49075788344468,91.77057356608479,96.39885612766201,61.69000598727498,57.14466284521004,59.9680703349011,N/A,N/A,N/A,59.06051506166891,11.132746154590825,32.14095186482898,-3.2559590393227555,8.578807884781403,4.491973450189704,22585.0,100.044286979628,311.0848198034219,184832.0,3.872631939800271,8.189486130378539,171.0,0.817790211907334,N/A,N/A,N/A
24,WOLF,33.088234069541265,231.24999616514242,306.61764944352495,2.6796998977661133,2.720000028610229,2.8399999141693115,2.569999933242798,0.0,60.46107584602014,0.0,44.680852952614345,0.0,51.06382560492532,0.0,59.6273236278215,192.82469281982685,277.1641117698939,294.1668809235326,0.5037815259212246,2.0861977756740018,69.77210837176435,308.2315913793809,147.71746467035467,91.52119700748129,97.20688216640319,251.47299212907268,228.8512028349597,312.952221483869,301.1238955296506,21.715432655593716,5.625501340767137,83.10407343339085,-17.509468384053804,-15.590249010368662,-12.919371678188154,23.906380793928296,-18.785340560336408,234178.0,63.131130182790905,34.64386743635151,1731944.0,1.1228384440358659,35.116850208923,164.0,N/A,192.52272946762903,N/A,161.8977659846001
25,CHGG,97.16312320567822,51.063833025150544,124.11347811541438,1.5,1.409999966621399,1.5,1.3849999904632568,0.0,-7.975459853492514,0.0,-11.875003399327348,0.0,-10.714282926653432,0.0,-2.464786456279614,108.49006897100077,106.93484338619504,112.01028493751946,0.5037815259211856,1.7672806849123874,39.20750995959193,122.32215290326114,88.64238274525756,91.52119700748129,86.09416328226752,112.6593647804252,106.23569261833975,146.59319087147767,168.18931359542512,39.17814577342639,24.977609361524344,N/A,N/A,N/A,-10.748108747970047,10.752676481130688,-34.582905933958216,3859.0,5.552516411378556,-71.77029992684712,126831.0,0.9238481737884937,0.18800407605475816,48.0,N/A,26.282032641759017,N/A,88.25796745503395
26,CHTR,144.15715653860372,135.7398748121117,126.72189708623272,261.57000732421875,268.0199890136719,274.6415100097656,261.3999938964844,0.0,-0.16411934190124047,0.0,1.553491731334782,0.0,3.8342192853556236,0.0,1.131632739684445,22.71728244752053,51.35999364308751,46.61120739622315,0.5037815259211322,-1.0503740261951757,28.459604520074162,52.19298223553104,40.31245865925417,91.02244389027432,90.75993922557389,42.76895087534782,42.027826134387226,53.42392220877304,66.70274285545274,3.739233749787587,19.236695339244733,46.69135016878522,-12.34038540957561,12.32191293424301,-16.359140829737306,-5.417119515096069,-6.812714812549892,63752.0,250.4590181958111,81.19599818099135,93648.0,1.2443646820977978,3.670902891555595,465.0,0.2161833068548783,535.5891151520478,0.8653181972264685,463.0419440069844
27,ENOV,93.71303955614164,121.63087622750317,135.82321176128235,33.09000015258789,32.130001068115234,33.84000015258789,32.060001373291016,0.0,8.705649053998329,0.0,1.741612241095402,0.0,7.122507088103566,0.0,5.321947473098334,46.46976259225868,57.07595494198341,53.51421055505361,0.5037815259211139,0.31555772575687346,25.3743136929701,59.65217437767518,36.59019773521176,90.52369077306733,95.60495791517582,50.347406164937325,46.13549335040418,65.35457102993293,63.93692298073639,3.3840360956994586,6.9969371650955,58.47596914911708,7.149612757772725,0.5289512698673108,-2.2402811631409136,-3.5996294622225324,-11.840360474879319,433.0,1.8823529411764703,14.854111405835543,8915.0,-0.0224290680722216,1.5491513839845084,35.0,13.658665595266369,16.34444180877999,N/A,58.76228082056068
28,SRPT,117.77126581952788,434.60411606972065,733.1965262761058,18.0,17.049999237060547,18.13999938964844,17.049999237060547,0.0,4.590360009025827,0.0,-4.8017901601257,0.0,1.0866519818357256,0.0,1.1869368015609243,70.34023126489059,127.04830478706891,147.29204265450397,0.5037815259210873,0.15504133308053208,29.375331619192963,157.81354201244778,70.8331231866253,89.52618453865337,98.01311316829907,121.98166785013272,105.57086912516144,109.95108980445369,N/A,N/A,N/A,109.94774488626555,4.519902868248228,2.5697257051100175,-14.022906083267944,7.193231025133424,37.340952850050286,23123.0,51.02214094441905,62.15287517531557,252327.0,0.2742045088758807,1.1229335737902013,196.0,N/A,605.478462127613,N/A,20.405042584860503
29,RNG,84.68610751156686,85.28851882590543,95.40266099920875,31.229999542236328,31.540000915527344,32.380001068115234,31.1299991607666,0.0,2.7978946838400036,0.0,0.8957155617254446,0.0,3.582856145338733,0.0,2.4687294954522794,81.92991071076158,65.39727672252003,53.48672305660768,0.5037815259212253,-1.552433691006316,39.06616310206084,60.77790140862697,46.021436389188906,88.5286783042394,94.16950555547027,51.42232737978607,48.35698983117708,51.3607868843607,56.59732766680774,0.03380017093290732,2.1064963136811343,46.32522101260691,2.7067824303566144,1.2051650958009656,-42.987547752978166,-11.25689357073814,2.1259361722469805,2774.0,-0.9992862241256246,37.462834489593654,26161.0,0.19532746074301033,1.403155161052754,77.0,N/A,8.534866645348451,N/A,N/A
30,AMPH,91.03039244865252,104.85545365277065,184.50704085953703,27.1299991607666,26.979999542236328,27.89999961853028,26.56999969482422,0.0,-4.337099517325116,0.0,-5.927478189854342,0.0,-3.4267905574026654,0.0,-6.311709721451768,64.45331079540125,52.231108313981565,45.64776029918168,0.5037815259213613,0.882814988872953,26.914964641025463,50.049905374098714,40.40247627120016,88.2793017456359,87.55101299892138,43.98313329148512,42.91613292438255,67.29856269022049,76.61520259854336,-1.279796250314405,-35.88365968843472,N/A,N/A,N/A,-41.18060764521105,-52.539885809056884,-21.650802391038816,164.0,0.0,0.0,1473.0,0.20408163265306123,0.683526999316473,27.0,N/A,313.3396615625026,N/A,N/A
31,MTH,84.69387837636857,92.64587425774918,131.9127082399585,76.69999694824219,75.45999908447266,79.99590301513672,74.72000122070312,0.0,-2.960531300835884,0.0,-6.90846119267789,0.0,-1.4950081061730645,0.0,-5.477547961914218,40.33123294984328,44.00145383758414,40.941569112201485,0.5037815259201849,-0.4795401904852759,32.77292862196194,45.34846598769152,38.35796597602899,88.2793017456359,83.60794529253836,40.477247468737694,39.18161879061192,176.47933953125755,181.5862886689743,2.996912172147962,292.0854490183731,N/A,N/A,N/A,3.272975094580673,308.12486789470984,-135.53777041905607,11864.0,3.021882598124349,1115.5737704918033,11799.0,2.493050729673384,3.837014872832879,63.0,N/A,86.14034980488599,N/A,N/A
32,MP,56.488554194853904,38.76665254450196,21.134561295523994,68.0,66.80999755859375,69.0999984741211,65.25,0.0,8.626200730837526,0.0,5.997142396484486,0.0,5.299251087513568,0.0,5.038636706267999,46.10423430148027,105.23317934483931,96.32083707755876,0.5037815259211905,-3.702634082556691,51.5437351420201,111.58113488748329,67.50740593977493,88.02992518703242,95.16102930315058,90.72938571160142,83.06167638744115,75.53503515035587,73.27648259717684,-2.4576300901155945,-0.35453819277600035,72.72269911319805,2.992700145241783,5.47300620802739,-26.584300977991067,-9.315762747876455,20.785801927202897,80387.0,56.35843771882051,44.58613619194935,594814.0,0.947848799023809,12.205345285524569,593.0,N/A,25.347409136663263,N/A,342.6137068479573
33,SPB,97.93466238952038,129.90253506018524,169.372072322787,53.09999847412109,52.7599983215332,55.119998931884766,52.7400016784668,0.0,-1.1909251662754499,0.0,-3.898002085367781,0.0,0.10896759371105671,0.0,-1.9975786967848173,41.82180808433748,38.62875700533933,38.540188783530034,0.5037815259156747,0.38778318039276427,21.1690180152191,42.989584248999805,30.860008959255698,88.02992518703242,92.49709862609053,37.10454020813647,33.517588935487844,211.79529411864485,N/A,N/A,N/A,N/A,N/A,N/A,-20.33517768504476,377.8209690967004,-173.25510533511482,785.0,-0.1272264631043257,1.0296010296010296,6760.0,0.10365763364430625,0.3861003861003861,34.0,N/A,70.58216677561161,N/A,N/A
34,MODG,90.72053010966422,73.68995755940996,115.72053010966424,9.649999618530272,9.15999984741211,9.854999542236328,9.145000457763672,0.0,3.3190520436607014,0.0,-5.274045758614857,0.0,1.5979354228764058,0.0,-1.6666637612073394,64.64392451019502,64.42924835050515,70.71839037318458,0.5037815259209474,0.6656334089997293,30.84653613410195,77.99869457936714,53.84832481567385,87.78054862842892,92.49537564109441,67.75081947502873,62.18655217598666,72.11797601774259,N/A,N/A,N/A,62.55665509157523,0.9470407794282243,-11.101737086174767,-2.6911668309731147,5.196500577583831,-1.399585644558016,975.0,6.324972737186478,97.36842105263158,42525.0,0.7582040042648975,1.1560693641618496,38.0,1.534806389541055,325.5186895656965,0.0054629239360856,53.04136855196378
35,GWRE,96.27844725417185,77.56539701646001,69.82667488905338,246.52999877929688,246.94000244140625,250.3999938964844,244.3025054931641,0.0,-3.1886885182837736,0.0,-2.468501891754746,0.0,-1.751912385162445,0.0,-2.42925460675154,57.862125646191885,42.61326558985346,42.51017477381894,0.5037815259210596,-2.030731615986141,22.381501772663743,46.44806395352896,35.03698800546261,87.03241895261846,86.72173950744164,42.59576923352932,40.07025889309247,45.39461525325375,45.870765759228526,5.937375421300111,-11.8787051235868,37.09374685407778,-7.553697750514053,10.184235153810071,1.600306193017921,-22.50228336010561,-2.884440479434808,1173.0,-16.749467707594036,-33.238474672737624,11891.0,-1.2539445274871284,2.0774315391879132,149.0,0.0202588102461141,N/A,N/A,26.596444038509965
36,IIIV,80.72131422699475,81.21311625496286,71.77048980212604,30.93000030517578,30.5,30.979999542236328,29.8700008392334,0.0,1.9446280475300715,0.0,-2.086676168508245,0.0,-0.7051321003954937,0.0,-1.0927149515539774,44.219528162637005,36.1320763928364,38.73821820755673,0.5037815259212127,0.15150251208489143,32.029354930596746,40.569141929650044,36.4794459058771,86.0349127182045,89.09036472307271,37.00440924333012,36.46755083049723,56.96633121126913,N/A,N/A,N/A,61.53027308627321,N/A,N/A,-16.547316670641475,-50.15537089648676,-18.2281130037124,33.0,0.0,0.0,730.0,0.0,0.6896551724137931,13.0,N/A,N/A,N/A,N/A
