Pair,Price,Day,Weekly,Monthly,YTD,YoY,Date
USDUAH,41.1881,0.0619,-0.15%,-0.15%,-0.39%,-2.05%,-0.78%
USDBYR,3.38490,0.00350,-0.10%,0.04%,1.62%,3.64%,3.39%
USDRSD,99.598,0.223,-0.22%,0.02%,-0.83%,-11.85%,-5.28%
USDBAM,1.66230,0.00450,-0.27%,0.01%,-0.86%,-11.98%,-5.45%
USDISK,121.715,0.335,-0.27%,-0.16%,-0.76%,-12.43%,-11.05%
USDALL,82.385,0.135,-0.16%,-0.33%,-1.10%,-13.10%,-8.21%
USDMKD,52.3950,0.1250,-0.24%,-0.13%,-0.59%,-11.09%,-5.23%
USDMDL,16.5300,0.0300,0.18%,-0.42%,-0.42%,-9.58%,-4.91%
USDBGN,1.66240,0.00400,-0.24%,-0.04%,-0.84%,-12.01%,-5.41%
USDARS,1465.988,11.334,0.78%,3.02%,13.40%,42.20%,52.63%
USDCOP,3908.07,9.57,0.25%,-0.79%,-2.84%,-11.29%,-7.53%
USDPEN,3.49250,0.00620,0.18%,-0.51%,-1.87%,-6.96%,-7.51%
USDCUC,24.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%
USDDOP,62.9500,0.4713,-0.74%,-0.94%,2.42%,3.38%,4.74%
USDGTQ,7.65850,0.00700,-0.09%,-0.07%,-0.15%,-0.60%,-1.04%
USDURY,40.1206,0.0507,0.13%,0.39%,0.44%,-8.11%,-2.39%
USDCRC,503.710,0.000,0.00%,-0.24%,-0.32%,-0.58%,-2.93%
USDPAB,1.00080,0.00070,0.07%,0.08%,-0.12%,0.08%,0.03%
USDBOB,6.92270,0.01020,0.15%,-0.03%,0.33%,-0.18%,-0.22%
USDPYG,7137.06,11.58,-0.16%,-0.36%,-2.40%,-8.64%,-8.25%
USDSVC,8.74710,0.00600,-0.07%,-0.08%,0.12%,-0.03%,-0.09%
USDTTD,6.78490,0.01680,-0.25%,-0.01%,0.15%,0.28%,-0.12%
USDHNL,26.2209,0.0204,0.08%,0.11%,0.12%,3.58%,5.09%
USDJMD,160.552,0.076,0.05%,0.34%,0.49%,3.78%,2.07%
USDNIO,36.7100,0.1032,-0.28%,-0.24%,-0.08%,0.30%,-0.16%
USDHTG,130.808,0.093,-0.07%,-0.03%,0.12%,0.47%,-0.78%
USDBSD,0.99970,0.00070,-0.07%,-0.03%,0.12%,-0.03%,-0.07%
USDSRD,39.3374,0.1154,0.29%,1.68%,4.24%,10.98%,34.29%
USDGYD,209.200,0.000,0.00%,0.19%,0.00%,0.00%,0.19%
USDKYD,0.83125,0.00000,0.00%,0.00%,0.00%,0.00%,0.15%
USDVES,160.24740,0.00010,0.00%,3.53%,17.21%,208.78%,336.29%
USDIDR,16398.4,9.6,-0.06%,0.05%,1.11%,0.81%,6.53%
USDSAR,3.75100,0.00080,-0.02%,-0.02%,-0.04%,-0.15%,-0.03%
USDTWD,30.2090,0.0908,-0.30%,-0.52%,0.54%,-7.91%,-4.57%
USDIRR,42050.0,0.0,0.00%,0.00%,0.11%,0.12%,0.12%
USDAED,3.67250,0.00050,-0.01%,0.00%,-0.01%,-0.02%,-0.01%
USDTHB,31.7950,0.0750,0.24%,0.33%,-2.26%,-7.38%,-4.39%
USDMYR,4.20500,0.00000,0.00%,-0.30%,-0.41%,-5.96%,-2.23%
USDPHP,57.1000,0.1070,-0.19%,0.72%,0.10%,-1.70%,2.50%
USDIQD,1310.00,0.05,0.00%,0.00%,0.00%,0.08%,0.00%
USDKZT,540.905,0.025,0.00%,1.23%,0.37%,3.11%,12.48%
USDQAR,3.64080,0.01420,-0.39%,-0.25%,-0.10%,-0.10%,-0.12%
USDVND,26385.0,0.0,0.00%,-0.11%,0.32%,3.55%,7.56%
USDBDT,121.7250,0.0250,0.02%,0.02%,0.19%,2.29%,1.81%
USDOMR,0.38500,0.00020,0.06%,0.06%,0.06%,0.00%,0.03%
USDAZN,1.71060,0.01060,0.62%,0.62%,0.62%,0.92%,0.62%
USDLKR,301.950,0.130,0.04%,0.31%,0.33%,2.99%,-0.07%
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%
USDUZS,12380.0,72.4,-0.58%,-0.48%,-1.46%,-4.03%,-2.94%
USDMOP,8.01900,0.00100,0.01%,0.01%,-0.48%,0.19%,-0.18%
USDTMT,3.50000,0.00050,0.01%,0.01%,0.01%,0.15%,0.00%
USDLBP,89550.00,34.38,-0.04%,0.00%,0.15%,0.06%,-0.06%
USDYER,239.600,0.060,0.03%,-0.02%,-0.22%,-3.80%,-4.15%
USDBHD,0.37704,0.00000,0.00%,0.01%,0.01%,-0.02%,0.06%
USDAFN,69.0000,0.8700,1.28%,1.05%,0.94%,-1.92%,-0.59%
USDNPR,140.964,0.224,-0.16%,-0.19%,0.89%,2.91%,5.13%
USDBND,1.28040,0.00240,-0.19%,-0.21%,-0.19%,-6.21%,-1.17%
USDKHR,4007.00,2.55,-0.06%,-0.05%,0.18%,-0.25%,-0.91%
USDGEL,2.70550,0.00400,0.15%,0.46%,0.39%,-3.89%,0.67%
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%
USDMNT,3597.00,1.00,-0.03%,0.00%,0.00%,5.18%,6.42%
USDLAK,21670.0,21.5,-0.10%,-0.11%,0.27%,-0.15%,-1.97%
USDAMD,383.120,0.751,0.20%,0.16%,0.24%,-3.14%,-1.05%
USDTJS,9.4517,0.0381,0.40%,0.07%,1.51%,-12.89%,-11.21%
USDKGS,87.4500,0.0272,-0.03%,0.00%,0.08%,0.52%,3.28%
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%
USDKWD,0.30520,0.00020,-0.07%,-0.04%,-0.17%,-1.01%,0.09%
USDJOD,0.70900,0.00000,0.00%,0.00%,0.00%,-0.06%,0.04%
USDPGK,4.17650,0.06320,-1.49%,0.00%,0.53%,2.82%,5.33%
USDXPF,101.650,0.025,-0.02%,0.06%,-0.25%,-11.54%,-5.55%
USDFJD,2.23580,0.00400,-0.18%,-1.47%,-0.87%,-4.04%,0.12%
USDNGN,1498.390,3.910,-0.26%,-0.54%,-2.39%,-2.96%,-8.58%
USDZMW,23.6200,0.0550,-0.23%,-1.75%,1.33%,-15.66%,-10.67%
USDEGP,48.1700,0.0500,-0.10%,-0.06%,-0.33%,-5.16%,-0.43%
USDDZD,129.632,0.104,-0.08%,0.09%,-0.02%,-4.21%,-1.98%
USDAOA,918.650,0.000,0.00%,-0.57%,0.00%,-0.43%,-2.17%
USDMAD,8.98590,0.02610,-0.29%,-0.29%,-0.37%,-11.18%,-7.87%
USDSDG,601.500,1.229,0.20%,0.19%,0.19%,0.45%,0.44%
USDKES,129.200,0.000,0.00%,0.04%,0.00%,0.27%,0.16%
USDETB,143.9000,0.2629,0.18%,0.51%,2.33%,12.78%,24.17%
USDTZS,2470.70,9.73,0.40%,-1.17%,-5.28%,1.88%,-9.48%
USDTND,2.89700,0.01510,-0.52%,0.00%,-0.73%,-9.15%,-4.37%
USDLYD,5.39500,0.01620,-0.30%,-0.28%,-0.25%,10.02%,12.98%
USDGHS,12.23000,0.03000,0.25%,1.24%,13.77%,-16.80%,-22.05%
USDCDF,2885.00,17.50,-0.60%,-0.83%,-0.98%,1.00%,1.58%
USDUGX,3503.46,12.24,-0.35%,-0.13%,-1.50%,-4.61%,-5.74%
USDMZN,63.6100,0.0100,-0.02%,-0.47%,-0.02%,-0.46%,-0.46%
USDBWP,14.1672,0.0103,0.07%,-1.26%,-0.17%,1.44%,7.10%
USDXAF,557.931,1.306,-0.23%,-2.08%,-0.45%,-12.86%,-5.45%
USDNAD,17.3657,0.0257,-0.15%,-0.70%,-1.51%,-7.78%,-2.03%
USDSSP,4552.056,0.000,0.00%,0.33%,0.43%,17.23%,49.33%
USDMUR,45.4900,0.0100,0.02%,-1.15%,-0.33%,-2.80%,-1.00%
USDMGA,4475.00,41.73,0.94%,1.24%,0.74%,-4.63%,-1.86%
USDRWF,1446.00,3.59,-0.25%,-0.25%,0.01%,5.60%,7.83%
USDGNF,8696.00,23.00,0.27%,0.29%,0.30%,1.09%,0.56%
USDMRO,39.7760,0.2340,-0.58%,-0.14%,-0.63%,0.02%,0.07%
USDSLL,23342.3,37.5,-0.16%,-0.05%,0.18%,2.04%,2.97%
USDXOF,557.500,1.737,-0.31%,-0.31%,-0.53%,-11.05%,-5.75%
USDMWK,1733.670,0.000,0.00%,0.00%,0.00%,0.00%,-0.11%
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%
USDSZL,17.3500,0.0048,0.03%,-0.90%,-1.16%,-7.81%,-2.06%
USDBIF,2984.50,0.20,0.01%,0.03%,0.08%,0.92%,3.13%
USDLSL,17.3657,0.0257,-0.15%,-0.67%,-1.22%,-7.78%,-2.03%
USDLRD,178.000,0.100,0.06%,-11.22%,-11.22%,-3.52%,-11.00%
USDCVE,94.0997,0.3223,-0.34%,-0.12%,-0.80%,-11.79%,-5.48%
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,0.20%
USDSCR,14.2830,0.0180,0.13%,-0.57%,-4.46%,0.22%,5.61%
USDSOS,571.500,0.000,0.00%,0.00%,0.00%,0.62%,0.62%
USDGMD,73.1500,0.1750,-0.24%,0.90%,0.45%,1.39%,4.13%
USDKMF,418.500,2.590,-0.62%,-0.29%,-0.92%,-11.71%,-5.47%
USDSTD,21.0374,0.0707,-0.33%,-0.01%,-0.49%,-12.00%,-6.62%
USDZIG,26.733,0.004,0.02%,0.01%,-0.13%,3.62%,89.63%
