Crypto,Price,Day,Weekly,Monthly,YTD,YoY,MarketCap,Date
BTCGBP,84810.2,897.7,-1.05%,2.52%,-1.47%,13.79%,92.30%,Sep/15
BTCAUD,172953.8,"2,066.5",-1.18%,1.79%,-3.39%,14.72%,100.43%,Sep/15
BTCCAD,158897.3,"1,760.0",-1.10%,2.74%,-0.99%,18.44%,100.73%,Sep/15
BTCCNY,820959,"5,950",-0.72%,2.82%,-1.76%,19.91%,98.54%,Sep/15
BTCJPY,16995106,"145,348",-0.85%,2.86%,-1.18%,15.75%,107.18%,Sep/15
BTCNZD,194165.1,"1,266.9",-0.65%,2.96%,-1.09%,16.38%,106.47%,Sep/15
BTCCHF,91609.1,812.6,-0.88%,3.07%,-2.41%,8.19%,86.17%,Sep/15
BTCMXN,2118273,"19,627",-0.92%,1.30%,-2.98%,8.88%,89.20%,Sep/15
BTCINR,10163639,"86,421",-0.84%,3.03%,0.12%,27.28%,107.97%,Sep/15
BTCBRL,613218,"8,596",-1.38%,0.94%,-3.00%,6.26%,91.22%,Sep/15
BTCRUB,9550312,"203,096",-2.08%,3.29%,2.34%,-9.82%,79.35%,Sep/15
BTCKRW,159815328,"1,933,332",-1.20%,2.91%,-1.03%,15.86%,108.18%,Sep/15
BTCIDR,1888280992,"16,884,704",-0.89%,2.76%,0.14%,24.40%,110.55%,Sep/15
BTCTRY,4765695,"33,736",-0.70%,3.11%,0.30%,44.54%,140.36%,Sep/15
BTCSAR,432614,"3,009",-0.69%,2.85%,-0.84%,23.42%,97.90%,Sep/15
BTCSEK,1069545,"9,204",-0.85%,2.02%,-3.76%,3.60%,80.36%,Sep/15
BTCNGN,172818309,"1,616,749",-0.93%,2.32%,-3.17%,19.95%,80.97%,Sep/15
BTCPLN,416627,"3,791",-0.90%,2.94%,-1.56%,8.09%,86.19%,Sep/15
BTCARS,169048829,"146,140",0.09%,5.97%,12.47%,75.72%,202.09%,Sep/15
BTCNOK,1133142,"9,457",-0.83%,1.38%,-4.49%,6.67%,83.69%,Sep/15
BTCTWD,3484185,"33,985",-0.97%,2.35%,-0.27%,13.83%,88.93%,Sep/15
BTCIRR,4853284850,"23,590,050",-0.48%,3.85%,-1.60%,23.84%,95.42%,Sep/14
ETHBTC,0.0394391,0.0005132,-1.28%,2.61%,4.74%,10.49%,0.03%,Sep/15
ETHEUR,3835.52,184.22,-4.58%,4.75%,3.77%,19.29%,85.83%,Sep/15
ETHGBP,3317.05,164.27,-4.72%,4.32%,3.89%,24.68%,90.76%,Sep/15
ETHAUD,6764.48,344.57,-4.85%,3.57%,1.87%,25.71%,98.83%,Sep/15
ETHCAD,6214.70,310.93,-4.76%,4.54%,4.40%,29.78%,99.13%,Sep/15
ETHCNY,32108.9,"1,478.8",-4.40%,4.62%,3.59%,31.39%,96.95%,Sep/15
ETHJPY,664703,"31,514",-4.53%,4.67%,4.20%,26.83%,105.53%,Sep/15
ETHNZD,7594.08,344.05,-4.33%,4.77%,4.30%,27.52%,104.82%,Sep/15
ETHCHF,3582.97,171.05,-4.56%,4.88%,2.90%,18.55%,84.68%,Sep/15
ETHMXN,82848.7,"3,989.3",-4.59%,3.07%,2.30%,19.30%,87.69%,Sep/15
ETHINR,397515,"18,826",-4.52%,4.84%,5.57%,39.47%,106.31%,Sep/15
ETHBRL,23983.9,"1,273.2",-5.04%,2.71%,2.28%,16.44%,89.70%,Sep/15
ETHRUB,373691,"22,477",-5.67%,5.15%,7.96%,-1.14%,77.99%,Sep/15
ETHKRW,6250612,"319,359",-4.86%,4.71%,4.35%,26.95%,106.52%,Sep/15
ETHIDR,73853437,"3,531,334",-4.56%,4.56%,5.59%,36.31%,108.87%,Sep/15
ETHTRY,186415.4,"8,529.8",-4.38%,4.93%,5.77%,58.40%,138.47%,Sep/15
ETHSAR,16920.2,774.2,-4.38%,4.66%,4.56%,35.24%,96.32%,Sep/15
ETHSEK,41831.5,"1,985.6",-4.53%,3.81%,1.48%,13.52%,78.92%,Sep/15
ETHNGN,6759177,"326,095",-4.60%,4.11%,2.10%,31.43%,79.53%,Sep/15
ETHPLN,16294.9,781.8,-4.58%,4.75%,3.80%,18.44%,84.71%,Sep/15
ETHARS,6611747,"248,809",-3.63%,7.83%,18.59%,92.55%,199.68%,Sep/15
ETHNOK,44318.8,"2,091.7",-4.51%,3.16%,0.71%,16.88%,82.22%,Sep/15
ETHTWD,136271.6,"6,630.8",-4.64%,4.14%,5.16%,24.73%,87.42%,Sep/15
ETHIRR,193900001,"2,486,114",-1.27%,7.10%,3.93%,38.61%,99.16%,Sep/14
